osm_wid,osm_nid_1,osm_nid_2,linkuse,comment
w13821869,osm129209966,osm129209962,road,"National Forest Development Road 1614.link89"
w13821869,osm129209969,osm129209966,road,"National Forest Development Road 1614.link90"
w13821869,osm129209971,osm129209969,road,"National Forest Development Road 1614.link91"
w13821869,osm129209972,osm129209971,road,"National Forest Development Road 1614.link92"
w13821869,osm129209975,osm129209972,road,"National Forest Development Road 1614.link93"
w13821869,osm129209977,osm129209975,road,"National Forest Development Road 1614.link94"
w13821869,osm129209981,osm129209977,road,"National Forest Development Road 1614.link95"
w13821869,osm129209985,osm129209981,road,"National Forest Development Road 1614.link96"
w13821869,osm129209987,osm129209985,road,"National Forest Development Road 1614.link97"
w13821869,osm129209990,osm129209987,road,"National Forest Development Road 1614.link98"
w13821869,osm129209991,osm129209990,road,"National Forest Development Road 1614.link99"
w13821869,osm129209993,osm129209991,road,"National Forest Development Road 1614.link100"
w13821869,osm129209995,osm129209993,road,"National Forest Development Road 1614.link101"
w13821869,osm129209996,osm129209995,road,"National Forest Development Road 1614.link102"
w13821869,osm129209998,osm129209996,road,"National Forest Development Road 1614.link103"
w13821869,osm129210001,osm129209998,road,"National Forest Development Road 1614.link104"
w13821869,osm129210004,osm129210001,road,"National Forest Development Road 1614.link105"
w13821869,osm129210006,osm129210004,road,"National Forest Development Road 1614.link106"
w13821869,osm129210009,osm129210006,road,"National Forest Development Road 1614.link107"
w13821869,osm129210011,osm129210009,road,"National Forest Development Road 1614.link108"
w13821869,osm129210013,osm129210011,road,"National Forest Development Road 1614.link109"
w13821869,osm129210016,osm129210013,road,"National Forest Development Road 1614.link110"
w13821869,osm129210019,osm129210016,road,"National Forest Development Road 1614.link111"
w13821869,osm129210022,osm129210019,road,"National Forest Development Road 1614.link112"
w13821869,osm129210025,osm129210022,road,"National Forest Development Road 1614.link113"
w13821869,osm129210027,osm129210025,road,"National Forest Development Road 1614.link114"
w13821869,osm129210030,osm129210027,road,"National Forest Development Road 1614.link115"
w13821869,osm129210032,osm129210030,road,"National Forest Development Road 1614.link116"
w13821869,osm129210035,osm129210032,road,"National Forest Development Road 1614.link117"
w13821869,osm129210038,osm129210035,road,"National Forest Development Road 1614.link118"
w13821869,osm129210043,osm129210038,road,"National Forest Development Road 1614.link119"
w13821869,osm129210047,osm129210043,road,"National Forest Development Road 1614.link120"
w13821869,osm129210050,osm129210047,road,"National Forest Development Road 1614.link121"
w13821869,osm129210053,osm129210050,road,"National Forest Development Road 1614.link122"
w13821869,osm129210054,osm129210053,road,"National Forest Development Road 1614.link123"
w13821869,osm129210056,osm129210054,road,"National Forest Development Road 1614.link124"
w13821869,osm129210057,osm129210056,road,"National Forest Development Road 1614.link125"
w13821869,osm129210060,osm129210057,road,"National Forest Development Road 1614.link126"
w13821869,osm129210062,osm129210060,road,"National Forest Development Road 1614.link127"
w13821869,osm129210063,osm129210062,road,"National Forest Development Road 1614.link128"
w13821869,osm129210066,osm129210063,road,"National Forest Development Road 1614.link129"
w13821869,osm129210070,osm129210066,road,"National Forest Development Road 1614.link130"
w13821869,osm129210071,osm129210070,road,"National Forest Development Road 1614.link131"
w13821869,osm129210073,osm129210071,road,"National Forest Development Road 1614.link132"
w13821869,osm129210075,osm129210073,road,"National Forest Development Road 1614.link133"
w13821869,osm129210078,osm129210075,road,"National Forest Development Road 1614.link134"
w13821869,osm129210079,osm129210078,road,"National Forest Development Road 1614.link135"
w13821869,osm129210080,osm129210079,road,"National Forest Development Road 1614.link136"
w13821869,osm129210081,osm129210080,road,"National Forest Development Road 1614.link137"
w13821869,osm129210082,osm129210081,road,"National Forest Development Road 1614.link138"
w13821869,osm129210083,osm129210082,road,"National Forest Development Road 1614.link139"
w13821869,osm129210084,osm129210083,road,"National Forest Development Road 1614.link140"
w13821869,osm129210086,osm129210084,road,"National Forest Development Road 1614.link141"
w13821869,osm129210089,osm129210086,road,"National Forest Development Road 1614.link142"
w13821869,osm129210092,osm129210089,road,"National Forest Development Road 1614.link143"
w13821869,osm129210093,osm129210092,road,"National Forest Development Road 1614.link144"
w13821869,osm129210097,osm129210093,road,"National Forest Development Road 1614.link145"
w13821869,osm129210100,osm129210097,road,"National Forest Development Road 1614.link146"
w13821869,osm129210105,osm129210100,road,"National Forest Development Road 1614.link147"
w13821869,osm129210106,osm129210105,road,"National Forest Development Road 1614.link148"
w13821869,osm129210107,osm129210106,road,"National Forest Development Road 1614.link149"
w13821869,osm129210109,osm129210107,road,"National Forest Development Road 1614.link150"
w13821869,osm129210111,osm129210109,road,"National Forest Development Road 1614.link151"
w13821869,osm129210113,osm129210111,road,"National Forest Development Road 1614.link152"
w13821869,osm129210116,osm129210113,road,"National Forest Development Road 1614.link153"
w13821869,osm129210118,osm129210116,road,"National Forest Development Road 1614.link154"
w13821869,osm129210121,osm129210118,road,"National Forest Development Road 1614.link155"
w13821869,osm129210123,osm129210121,road,"National Forest Development Road 1614.link156"
w13821869,osm129210126,osm129210123,road,"National Forest Development Road 1614.link157"
w13821869,osm129210129,osm129210126,road,"National Forest Development Road 1614.link158"
w13821869,osm129210130,osm129210129,road,"National Forest Development Road 1614.link159"
w13821869,osm129210132,osm129210130,road,"National Forest Development Road 1614.link160"
w13821869,osm129210135,osm129210132,road,"National Forest Development Road 1614.link161"
w13821869,osm129210137,osm129210135,road,"National Forest Development Road 1614.link162"
w13821869,osm129210139,osm129210137,road,"National Forest Development Road 1614.link163"
w13821869,osm129210142,osm129210139,road,"National Forest Development Road 1614.link164"
