osm_nid,lat,lng,x,z
osm2683736773,50.10524560,8.70064840,-0.580,-1.360
osm832562408,50.10529820,8.70065040,-0.575,-1.360
osm2683736761,50.10519050,8.70080200,-0.586,-1.371
osm2683736762,50.10519290,8.70064650,-0.586,-1.360
osm2683736744,50.10513790,8.70080010,-0.592,-1.371
osm2683736746,50.10514030,8.70064450,-0.592,-1.360
osm832562440,50.10508520,8.70079810,-0.598,-1.371
osm832562455,50.10508760,8.70064260,-0.598,-1.360
osm2683736814,50.10559990,8.69840540,-0.541,-1.200
osm2683736788,50.10542290,8.69837980,-0.561,-1.199
osm2683736793,50.10543280,8.69818340,-0.560,-1.185
osm2683736792,50.10543140,8.70002160,-0.560,-1.316
osm2683736790,50.10543040,8.70004760,-0.560,-1.318
osm2683736777,50.10528100,8.70003290,-0.576,-1.316
osm2683736778,50.10528860,8.69984340,-0.576,-1.303
osm2683736748,50.10514970,8.70176510,-0.591,-1.440
osm2683736750,50.10515190,8.70168180,-0.591,-1.434
osm2683736734,50.10508000,8.70167730,-0.599,-1.434
osm2683736733,50.10507770,8.70176290,-0.599,-1.440
osm2683736727,50.10502870,8.70175930,-0.604,-1.440
osm2683736730,50.10503560,8.70150420,-0.604,-1.421
osm2683736742,50.10513340,8.69934300,-0.593,-1.267
osm2429580770,50.10512750,8.69955810,-0.594,-1.283
osm2683736754,50.10516580,8.70108690,-0.589,-1.392
osm2683736752,50.10516230,8.70125320,-0.590,-1.403
osm2683736755,50.10516620,8.70041170,-0.589,-1.343
osm832562434,50.10511320,8.70040670,-0.595,-1.343
osm832562390,50.10511940,8.70024930,-0.594,-1.332
osm2683736759,50.10517230,8.70025430,-0.589,-1.332
osm2683736767,50.10522200,8.69835520,-0.583,-1.197
osm2683736769,50.10522840,8.69815900,-0.582,-1.183
osm2683736738,50.10510440,8.70001550,-0.596,-1.315
osm2683736740,50.10511210,8.69982600,-0.595,-1.302
osm2683736766,50.10521910,8.70041670,-0.583,-1.344
osm2683736768,50.10522530,8.70025930,-0.583,-1.333
osm2683736774,50.10527210,8.70042170,-0.577,-1.344
osm2683736775,50.10527820,8.70026430,-0.577,-1.333
osm832562429,50.10532510,8.70042670,-0.572,-1.345
osm832562467,50.10533120,8.70026940,-0.571,-1.333
osm2683736789,50.10542920,8.70077160,-0.560,-1.369
osm2683736805,50.10553790,8.70079610,-0.548,-1.371
osm2683736715,50.10495240,8.69934100,-0.613,-1.267
osm2429580774,50.10495150,8.69955610,-0.613,-1.282
osm2683736726,50.10501570,8.70108200,-0.606,-1.391
osm2013773755,50.10501450,8.70124230,-0.606,-1.403
osm2683736830,50.10573000,8.69870700,-0.527,-1.222
osm2683736818,50.10560470,8.69867830,-0.540,-1.220
osm2683736820,50.10562190,8.69849550,-0.539,-1.207
osm2683736821,50.10564580,8.69850100,-0.536,-1.207
osm3222087914,50.10530640,8.70190720,-0.574,-1.450
osm2683736787,50.10541070,8.70201300,-0.562,-1.458
osm3222087909,50.10524660,8.70197280,-0.580,-1.455
osm3222087911,50.10525450,8.70189450,-0.579,-1.449
osm2683736786,50.10538920,8.70222730,-0.564,-1.473
osm2683736776,50.10528000,8.70220050,-0.577,-1.471
osm3222087913,50.10529380,8.70206260,-0.575,-1.461
osm3222087908,50.10523890,8.70204920,-0.581,-1.460
osm2683736728,50.10503070,8.69835240,-0.604,-1.197
osm2683736729,50.10503350,8.69814740,-0.604,-1.182
osm2683736716,50.10495960,8.70000410,-0.612,-1.314
osm2683736717,50.10496020,8.69981880,-0.612,-1.301
osm864875885,50.11268740,8.67590230,0.247,0.404
osm1855864879,50.11339970,8.67542840,0.326,0.438
osm1855864881,50.11341730,8.67535190,0.328,0.444
osm1855864890,50.11346870,8.67534160,0.334,0.444
osm864876013,50.11348870,8.67521900,0.336,0.453
osm2734966650,50.11452200,8.68303320,0.451,-0.104
osm2734966645,50.11454460,8.68316460,0.454,-0.114
osm2734966644,50.11445980,8.68320010,0.444,-0.116
osm2734966647,50.11443720,8.68306860,0.442,-0.107
osm2841309967,50.11480200,8.67291520,0.482,0.617
osm3730265272,50.11480200,8.67288320,0.482,0.620
osm3730265271,50.11480020,8.67286940,0.482,0.621
osm3730265270,50.11479420,8.67285250,0.481,0.622
osm3730265269,50.11478900,8.67284680,0.481,0.622
osm3730265268,50.11478330,8.67284220,0.480,0.623
osm3730265267,50.11477480,8.67283880,0.479,0.623
osm3730265266,50.11476340,8.67283710,0.478,0.623
osm3730265265,50.11474960,8.67284260,0.476,0.622
osm2841309968,50.11472890,8.67286830,0.474,0.621
osm1857303204,50.11436280,8.69108780,0.433,-0.679
osm1857303248,50.11473280,8.69107300,0.475,-0.678
osm1857303249,50.11473600,8.69126780,0.475,-0.691
osm1857303200,50.11434230,8.68988280,0.431,-0.593
osm1857303203,50.11434690,8.69009310,0.432,-0.608
osm2948866948,50.11355300,8.67624600,0.343,0.380
osm2948866945,50.11333000,8.67589250,0.319,0.405
osm2948866946,50.11336510,8.67567110,0.322,0.421
osm2957520621,50.11432200,8.68199140,0.429,-0.030
osm2957520622,50.11440240,8.68237430,0.438,-0.057
osm2957520620,50.11431300,8.68241990,0.428,-0.060
osm2957520619,50.11423260,8.68203700,0.419,-0.033
osm2959430234,50.11586700,8.66750990,0.601,1.003
osm3800893414,50.11586420,8.66771910,0.600,0.988
osm2959430235,50.11586370,8.66775210,0.600,0.986
osm2959430032,50.11546130,8.66773880,0.556,0.986
osm3800893396,50.11546150,8.66772690,0.556,0.987
osm3800893398,50.11546450,8.66750510,0.556,1.003
osm2959430237,50.11546460,8.66749670,0.556,1.004
osm2959430236,50.11541840,8.66742910,0.551,1.009
osm2959430239,50.11530530,8.66744190,0.538,1.008
osm2959430238,50.11532000,8.66775920,0.540,0.985
osm2959430233,50.11543310,8.66774640,0.552,0.986
osm3800893393,50.11543240,8.66773020,0.552,0.987
osm3800893390,50.11542210,8.66750990,0.551,1.003
osm2959975054,50.10842350,8.67322660,-0.227,0.595
osm2959975056,50.10840060,8.67316410,-0.230,0.600
osm2959975053,50.10832360,8.67323290,-0.238,0.595
osm2959975055,50.10834660,8.67329540,-0.236,0.590
osm2972963892,50.10651950,8.66375510,-0.439,1.271
osm4555559731,50.10654830,8.66382770,-0.436,1.265
osm2972963895,50.10655570,8.66384680,-0.435,1.264
osm2972963889,50.10644960,8.66394800,-0.446,1.257
osm2972963886,50.10641350,8.66385620,-0.451,1.263
osm2972963957,50.10701320,8.66299420,-0.384,1.325
osm2972963961,50.10704260,8.66306700,-0.381,1.320
osm2972963953,50.10699930,8.66310950,-0.385,1.317
osm2972963950,50.10696990,8.66303670,-0.389,1.322
osm2973032722,50.10726670,8.66372410,-0.356,1.273
osm2973033133,50.10738880,8.66360800,-0.342,1.281
osm2973033135,50.10741760,8.66368160,-0.339,1.276
osm2973032727,50.10729550,8.66379770,-0.352,1.267
osm2973114821,50.10728070,8.66375970,-0.354,1.270
osm98150875,50.10788980,8.66306220,-0.286,1.320
osm428550458,50.10784770,8.66295450,-0.291,1.328
osm2973078457,50.10773740,8.66267230,-0.303,1.348
osm3619853794,50.10770290,8.66270520,-0.307,1.345
osm2973078458,50.10768190,8.66265160,-0.309,1.349
osm2973078451,50.10765710,8.66267520,-0.312,1.348
osm2973078448,50.10762770,8.66270310,-0.315,1.346
osm2973078452,50.10768060,8.66283830,-0.310,1.336
osm2973078438,50.10764890,8.66286830,-0.313,1.334
osm2973077330,50.10769040,8.66297450,-0.309,1.326
osm2973078435,50.10771270,8.66295330,-0.306,1.328
osm3945358740,50.10774990,8.66304830,-0.302,1.321
osm2973078455,50.10776830,8.66303070,-0.300,1.322
osm3945358862,50.10780180,8.66311640,-0.296,1.316
osm2973078460,50.10781020,8.66313790,-0.295,1.315
osm3024084043,50.10877000,8.68127920,-0.188,0.021
osm3024084046,50.10874080,8.68129380,-0.192,0.020
osm3024084044,50.10875640,8.68137010,-0.190,0.014
osm3024084045,50.10878560,8.68135560,-0.187,0.015
osm335742809,50.11262410,8.68111820,0.240,0.032
osm3041162384,50.11257030,8.68114050,0.234,0.031
osm3045217298,50.10934360,8.70270730,-0.125,-1.507
osm3045217302,50.10959300,8.70474040,-0.097,-1.652
osm3045217309,50.11006600,8.70460100,-0.044,-1.642
osm3045217301,50.10975540,8.70210310,-0.079,-1.464
osm3045217306,50.10993350,8.70196840,-0.059,-1.454
osm3045217307,50.10984040,8.70166930,-0.069,-1.433
osm3045217305,50.10970430,8.70177220,-0.085,-1.440
osm3045217297,50.10962220,8.70106580,-0.094,-1.390
osm3045217299,50.10915780,8.70119460,-0.145,-1.399
osm3045217300,50.10926540,8.70210410,-0.133,-1.464
osm3045217304,50.10917760,8.70217050,-0.143,-1.469
osm3045217303,50.10927060,8.70246960,-0.133,-1.490
osm3045217308,50.10931090,8.70243910,-0.128,-1.488
osm1638052047,50.10942830,8.69581640,-0.115,-1.016
osm1638052087,50.10958490,8.69582340,-0.098,-1.016
osm1638052083,50.10958140,8.69601370,-0.098,-1.030
osm1638051990,50.10930690,8.69600120,-0.129,-1.029
osm1638051997,50.10930840,8.69592270,-0.129,-1.023
osm1638051987,50.10927920,8.69592140,-0.132,-1.023
osm3064961788,50.10928500,8.69580650,-0.131,-1.015
osm1638052040,50.10941400,8.69505440,-0.117,-0.961
osm1638052006,50.10936330,8.69505340,-0.123,-0.961
osm1638052010,50.10937370,8.69490040,-0.121,-0.950
osm1638052063,50.10950040,8.69496630,-0.107,-0.955
osm1638052067,50.10950630,8.69498350,-0.107,-0.956
osm1638052065,50.10950430,8.69501700,-0.107,-0.959
osm1638052060,50.10949460,8.69504030,-0.108,-0.960
osm1638052077,50.10951800,8.69553670,-0.105,-0.996
osm1638052046,50.10941860,8.69555390,-0.116,-0.997
osm1638052032,50.10940620,8.69576160,-0.118,-1.012
