osm_wid,osm_nid_1,osm_nid_2,linkuse,comment
w6342294,osm53065914,osm7258015732,slowroad,"Southeast 132nd Street.link2"
w6346010,osm4336624744,osm53076460,slowroad,"Tannerwood Way Southeast.link1"
w6346010,osm4071088706,osm4336624744,slowroad,"Tannerwood Way Southeast.link2"
w6346010,osm53076461,osm4071088706,slowroad,"Tannerwood Way Southeast.link3"
w6346010,osm7078797705,osm53076461,slowroad,"Tannerwood Way Southeast.link4"
w6346010,osm4071088708,osm7078797705,slowroad,"Tannerwood Way Southeast.link5"
w6346010,osm4336624741,osm4071088708,slowroad,"Tannerwood Way Southeast.link6"
w6346010,osm4071088709,osm4336624741,slowroad,"Tannerwood Way Southeast.link7"
w6346010,osm7078797711,osm4071088709,slowroad,"Tannerwood Way Southeast.link8"
w6346010,osm4336624742,osm7078797711,slowroad,"Tannerwood Way Southeast.link9"
w6346010,osm7078797706,osm4336624742,slowroad,"Tannerwood Way Southeast.link10"
w6346010,osm4336624743,osm7078797706,slowroad,"Tannerwood Way Southeast.link11"
w6347028,osm6228575990,osm53080414,slowroad,"Southeast 128th Place.link1"
w6347028,osm2003328735,osm6228575990,slowroad,"Southeast 128th Place.link2"
w6347028,osm6228575992,osm2003328735,slowroad,"Southeast 128th Place.link3"
w6347028,osm2003328730,osm6228575992,slowroad,"Southeast 128th Place.link4"
w6347028,osm6228575994,osm2003328730,slowroad,"Southeast 128th Place.link5"
w6347028,osm2003328750,osm6228575994,slowroad,"Southeast 128th Place.link6"
w6347028,osm53080416,osm2003328750,slowroad,"Southeast 128th Place.link7"
w6347377,osm7257953499,osm53081571,slowroad,"Southeast 127th Street.link1"
w6347377,osm7257286126,osm7257953499,slowroad,"Southeast 127th Street.link2"
w6347377,osm2003328728,osm7257286126,slowroad,"Southeast 127th Street.link3"
w6347970,osm2003328731,osm53063796,road,"452nd Avenue Southeast.link1"
w6347970,osm2003328754,osm2003328731,road,"452nd Avenue Southeast.link2"
w6347970,osm53083925,osm2003328754,road,"452nd Avenue Southeast.link3"
w6347970,osm6237346319,osm53083925,road,"452nd Avenue Southeast.link4"
w6347970,osm2003328767,osm6237346319,road,"452nd Avenue Southeast.link5"
w6347970,osm2003328742,osm2003328767,road,"452nd Avenue Southeast.link6"
w6347970,osm6237346320,osm2003328742,road,"452nd Avenue Southeast.link7"
w6347970,osm6237346321,osm6237346320,road,"452nd Avenue Southeast.link8"
w6347970,osm2003328752,osm6237346321,road,"452nd Avenue Southeast.link9"
w6347970,osm2003328720,osm2003328752,road,"452nd Avenue Southeast.link10"
w6347970,osm6237346313,osm2003328720,road,"452nd Avenue Southeast.link11"
w6347970,osm2003328725,osm6237346313,road,"452nd Avenue Southeast.link12"
w6347970,osm2003328721,osm2003328725,road,"452nd Avenue Southeast.link13"
w6347970,osm6237346314,osm2003328721,road,"452nd Avenue Southeast.link14"
w6347970,osm6237346315,osm6237346314,road,"452nd Avenue Southeast.link15"
w6347970,osm6237346316,osm6237346315,road,"452nd Avenue Southeast.link16"
w6347970,osm53083926,osm6237346316,road,"452nd Avenue Southeast.link17"
w6347970,osm53083929,osm53083926,road,"452nd Avenue Southeast.link18"
w6347970,osm53083932,osm53083929,road,"452nd Avenue Southeast.link19"
w6347970,osm53083934,osm53083932,road,"452nd Avenue Southeast.link20"
w6347970,osm2699368751,osm53083934,road,"452nd Avenue Southeast.link21"
w6347970,osm6237346306,osm2699368751,road,"452nd Avenue Southeast.link22"
w6347970,osm53083936,osm6237346306,road,"452nd Avenue Southeast.link23"
w6347970,osm6237346308,osm53083936,road,"452nd Avenue Southeast.link24"
w6347970,osm6237346330,osm6237346308,road,"452nd Avenue Southeast.link25"
w6347970,osm7260300626,osm6237346330,road,"452nd Avenue Southeast.link26"
w6347970,osm6237346307,osm7260300626,road,"452nd Avenue Southeast.link27"
w6347970,osm6237346309,osm6237346307,road,"452nd Avenue Southeast.link28"
w6347970,osm2003328739,osm6237346309,road,"452nd Avenue Southeast.link29"
w6347970,osm1743981103,osm2003328739,road,"452nd Avenue Southeast.link30"
w6347970,osm2003328747,osm1743981103,road,"452nd Avenue Southeast.link31"
w6347970,osm6237346310,osm2003328747,road,"452nd Avenue Southeast.link32"
w6347970,osm53063804,osm6237346310,road,"452nd Avenue Southeast.link33"
w6347972,osm2845389855,osm53083940,road,"Southeast 140th Street.link1"
w6347972,osm53079233,osm2845389855,road,"Southeast 140th Street.link2"
w6347972,osm4336624752,osm53079233,road,"Southeast 140th Street.link3"
w6347972,osm4336624753,osm4336624752,road,"Southeast 140th Street.link4"
w6347972,osm4336624754,osm4336624753,road,"Southeast 140th Street.link5"
w6347972,osm53079231,osm4336624754,road,"Southeast 140th Street.link6"
w6347972,osm7490861450,osm53079231,road,"Southeast 140th Street.link7"
w6347972,osm53079230,osm7490861450,road,"Southeast 140th Street.link8"
w6347972,osm4336624755,osm53079230,road,"Southeast 140th Street.link9"
w6347972,osm7078797566,osm4336624755,road,"Southeast 140th Street.link10"
w6347972,osm7257293056,osm7078797566,road,"Southeast 140th Street.link11"
w6347972,osm2560870772,osm7257293056,road,"Southeast 140th Street.link12"
w6347972,osm53076460,osm2560870772,road,"Southeast 140th Street.link13"
w6347972,osm4336624739,osm53076460,road,"Southeast 140th Street.link14"
w6347972,osm7257858816,osm4336624739,road,"Southeast 140th Street.link15"
w6347972,osm4336624740,osm7257858816,road,"Southeast 140th Street.link16"
w6347972,osm53076451,osm4336624740,road,"Southeast 140th Street.link17"
w6347972,osm2560870768,osm53076451,road,"Southeast 140th Street.link18"
w6347972,osm2560870767,osm2560870768,road,"Southeast 140th Street.link19"
w6347972,osm6063390583,osm2560870767,road,"Southeast 140th Street.link20"
w6347972,osm7078789249,osm6063390583,road,"Southeast 140th Street.link21"
w6347972,osm7078797761,osm7078789249,road,"Southeast 140th Street.link22"
w6347972,osm2560870765,osm7078797761,road,"Southeast 140th Street.link23"
w6347972,osm4336624756,osm2560870765,road,"Southeast 140th Street.link24"
w6347972,osm53079222,osm4336624756,road,"Southeast 140th Street.link25"
w6347972,osm2560870764,osm53079222,road,"Southeast 140th Street.link26"
w6347972,osm53079220,osm2560870764,road,"Southeast 140th Street.link27"
w6347972,osm4335038657,osm53079220,road,"Southeast 140th Street.link28"
w6347972,osm4336624757,osm4335038657,road,"Southeast 140th Street.link29"
w6347972,osm2560870762,osm4336624757,road,"Southeast 140th Street.link30"
w6347972,osm2560870763,osm2560870762,road,"Southeast 140th Street.link31"
w6347972,osm2560870761,osm2560870763,road,"Southeast 140th Street.link32"
w6347972,osm4335038656,osm2560870761,road,"Southeast 140th Street.link33"
w6347972,osm4335038594,osm4335038656,road,"Southeast 140th Street.link34"
w6347972,osm7260614256,osm4335038594,road,"Southeast 140th Street.link35"
w6347972,osm53079215,osm7260614256,road,"Southeast 140th Street.link36"
w6347972,osm7260614255,osm53079215,road,"Southeast 140th Street.link37"
w6347972,osm4335038596,osm7260614255,road,"Southeast 140th Street.link38"
w6347972,osm4335038597,osm4335038596,road,"Southeast 140th Street.link39"
w6347972,osm7259853835,osm4335038597,road,"Southeast 140th Street.link40"
w6347972,osm4335038658,osm7259853835,road,"Southeast 140th Street.link41"
w6347972,osm4335038598,osm4335038658,road,"Southeast 140th Street.link42"
w6347972,osm7259853841,osm4335038598,road,"Southeast 140th Street.link43"
w6347972,osm4335038599,osm7259853841,road,"Southeast 140th Street.link44"
w6347972,osm53079214,osm4335038599,road,"Southeast 140th Street.link45"
w6347972,osm7257251255,osm53079214,road,"Southeast 140th Street.link46"
w6347972,osm53079212,osm7257251255,road,"Southeast 140th Street.link47"
w6347972,osm4336624758,osm53079212,road,"Southeast 140th Street.link48"
w6347972,osm53079211,osm4336624758,road,"Southeast 140th Street.link49"
w6347972,osm7258028977,osm53079211,road,"Southeast 140th Street.link50"
w6347972,osm53079209,osm7258028977,road,"Southeast 140th Street.link51"
w6347972,osm4335038659,osm53079209,road,"Southeast 140th Street.link52"
w6347972,osm7258028967,osm4335038659,road,"Southeast 140th Street.link53"
w6347972,osm53079207,osm7258028967,road,"Southeast 140th Street.link54"
w6347972,osm7258028978,osm53079207,road,"Southeast 140th Street.link55"
w6347972,osm534474016,osm7258028978,road,"Southeast 140th Street.link56"
w6347972,osm7260808349,osm534474016,road,"Southeast 140th Street.link57"
w6347972,osm534474015,osm7260808349,road,"Southeast 140th Street.link58"
w6347972,osm53079205,osm534474015,road,"Southeast 140th Street.link59"
w6347972,osm53043574,osm53079205,road,"Southeast 140th Street.link60"
w6347972,osm534474024,osm53043574,road,"Southeast 140th Street.link61"
w6347972,osm4335038675,osm534474024,road,"Southeast 140th Street.link62"
w6347972,osm53079203,osm4335038675,road,"Southeast 140th Street.link63"
w6347972,osm4335038661,osm53079203,road,"Southeast 140th Street.link64"
w6347972,osm4335038662,osm4335038661,road,"Southeast 140th Street.link65"
w6347972,osm4335038660,osm4335038662,road,"Southeast 140th Street.link66"
w6352365,osm7257347601,osm7257270390,slowroad,"Southeast 131st Street.link1"
w6352365,osm7257347595,osm7257347601,slowroad,"Southeast 131st Street.link2"
w6352365,osm53090742,osm7257347595,slowroad,"Southeast 131st Street.link3"
w6353387,osm53091947,osm53063827,slowroad,"466th Avenue Southeast.link1"
w6353393,osm53091954,osm53091952,driveway,"service01.link1"
w6353393,osm3242736412,osm53091954,driveway,"service01.link2"
w6359856,osm53100125,osm53063836,slowroad,"470th Avenue Southeast.link1"
w6359856,osm6228575743,osm53100125,slowroad,"470th Avenue Southeast.link2"
w6359856,osm6228575735,osm6228575743,slowroad,"470th Avenue Southeast.link3"
w6359856,osm6228575734,osm6228575735,slowroad,"470th Avenue Southeast.link4"
w6359856,osm53100128,osm6228575734,slowroad,"470th Avenue Southeast.link5"
