osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w416944294,North Whisman Road032,highway,secondary,road,3,37.4013834,-122.0579831,1.1833,-1.1549,0,0
w416944311,North Whisman Road033,highway,secondary,road,3,37.4037609,-122.0572444,1.2486,-0.8906,0,0
w416944328,North Whisman Road034,highway,secondary,road,2,37.4021428,-122.0577019,1.2082,-1.0705,0,0
w416944345,North Whisman Road035,highway,secondary,road,4,37.4050148,-122.0566423,1.3017,-0.7511,0,0
w416944362,North Whisman Road036,highway,secondary,road,3,37.4003446,-122.0583607,1.1500,-1.2704,0,0
w416944379,North Whisman Road037,highway,secondary,road,7,37.3996867,-122.0587419,1.1163,-1.3436,0,0
w416944396,West Middlefield Road003,highway,secondary,road,13,37.3996854,-122.0718073,-0.0377,-1.3437,0,0
w416953545,North Whisman Road038,highway,secondary,road,2,37.3911689,-122.0621601,0.8144,-2.2907,0,0
w416953560,North Whisman Road039,highway,secondary,road,4,37.3902789,-122.0625065,0.7838,-2.3897,0,0
w416953577,North Whisman Road040,highway,secondary,road,5,37.3907264,-122.0624704,0.7870,-2.3399,0,0
w416953590,North Whisman Road041,highway,secondary,road,4,37.3924355,-122.0614866,0.8739,-2.1499,0,0
w416953626,West Middlefield Road004,highway,secondary,road,4,37.4002455,-122.0726573,-0.1127,-1.2815,0,0
w416953639,West Middlefield Road005,highway,secondary,road,5,37.4006236,-122.0734175,-0.1799,-1.2394,0,0
w416953652,West Middlefield Road006,highway,secondary,road,6,37.3993978,-122.0709970,0.0339,-1.3757,0,0
w416953662,Whisman Station Drive011,highway,secondary,road,3,37.3916189,-122.0622725,0.8045,-2.2407,0,0
w416953672,Whisman Station Drive012,highway,secondary,road,2,37.3915690,-122.0620817,0.8213,-2.2462,0,0
w416953681,secondary_link009,highway,secondary_link,road,2,37.4037631,-122.0571750,1.2547,-0.8903,0,0
w416953684,secondary_link010,highway,secondary_link,road,2,37.4004505,-122.0583899,1.1474,-1.2587,0,0
w416953689,secondary_link011,highway,secondary_link,road,2,37.4013801,-122.0580499,1.1774,-1.1553,0,0
w416957327,Whisman Station Drive013,highway,secondary,road,3,37.3898342,-122.0632593,0.7173,-2.4391,0,0
w416982092,Castro Street011,highway,secondary,road,3,37.3923892,-122.0798390,-0.7470,-2.1551,0,0
