osm_nid,lat,lng,x,z
osm6800579753,37.41571230,-122.05896520,0.438,-1.097
osm687816545,37.41567620,-122.05896470,0.434,-1.097
osm687816549,37.41546310,-122.05894330,0.411,-1.099
osm687816554,37.41525010,-122.05890570,0.387,-1.102
osm687816564,37.41502850,-122.05884940,0.362,-1.107
osm6800579778,37.41495290,-122.05883100,0.354,-1.108
osm29524009,37.41484960,-122.05880650,0.342,-1.111
osm1909328061,37.41477230,-122.05878880,0.334,-1.112
osm29381147,37.41473880,-122.05877700,0.330,-1.113
osm26391742,37.41468360,-122.05875230,0.324,-1.115
osm6800579765,37.41406430,-122.05843770,0.255,-1.143
osm29524017,37.41392840,-122.05836870,0.240,-1.149
osm6800579767,37.41366720,-122.05823350,0.211,-1.161
osm6800579766,37.41364380,-122.05822280,0.208,-1.162
osm26381630,37.41357720,-122.05818260,0.201,-1.166
osm6800579769,37.41352070,-122.05815840,0.195,-1.168
osm2610278770,37.41308260,-122.05792880,0.146,-1.188
osm6810264089,37.41259770,-122.05768840,0.092,-1.209
osm2610278780,37.41242500,-122.05759140,0.073,-1.218
osm6810257101,37.41221900,-122.05749590,0.050,-1.226
osm6810264088,37.41219830,-122.05748320,0.048,-1.227
osm65668092,37.41213140,-122.05744540,0.040,-1.231
osm29523987,37.42635910,-122.05756730,1.622,-1.220
osm3603100408,37.42718400,-122.06189970,1.714,-0.837
osm6821552781,37.41899710,-122.06587890,0.804,-0.486
osm687821520,37.41796410,-122.06409040,0.689,-0.644
osm687821524,37.41781290,-122.06406900,0.672,-0.646
osm29381099,37.41767870,-122.06402340,0.657,-0.650
osm29381100,37.41754020,-122.06395900,0.642,-0.656
osm687821535,37.41714400,-122.06395630,0.598,-0.656
osm687821537,37.41704810,-122.06392950,0.587,-0.658
osm687821539,37.41696930,-122.06387850,0.578,-0.663
osm29381101,37.41690110,-122.06380610,0.571,-0.669
osm6821552759,37.41377800,-122.06376050,0.223,-0.673
osm6849092191,37.41377010,-122.06319900,0.222,-0.723
osm6831102024,37.41376440,-122.06201750,0.222,-0.827
osm686277308,37.41376430,-122.06199110,0.222,-0.829
osm6831102021,37.41376730,-122.06178680,0.222,-0.847
osm29523965,37.41377070,-122.06175100,0.222,-0.851
osm6849086812,37.41386830,-122.06146230,0.233,-0.876
osm6800600106,37.41407690,-122.06084530,0.257,-0.931
osm6800600103,37.41417960,-122.06053690,0.268,-0.958
osm6800600102,37.41439680,-122.05989630,0.292,-1.014
