osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w417087664,Van Ness Avenue003,highway,primary,road,5,37.7759103,-122.4194997,-0.0088,0.1123,0,0
w417087695,Market Street027,highway,secondary,road,4,37.7770681,-122.4169647,0.2140,0.2411,0,0
w417226858,Market Street028,highway,secondary,road,8,37.7796986,-122.4134331,0.5244,0.5336,0,0
w417235842,Market Street029,highway,secondary,road,4,37.7769842,-122.4168573,0.2235,0.2318,0,0
w417238536,Fell Street009,highway,secondary,road,2,37.7765208,-122.4183601,0.0914,0.1802,0,0
w417238549,Fell Street010,highway,secondary,road,6,37.7764870,-122.4178953,0.1323,0.1765,0,0
w417238553,pedestrian002,highway,pedestrian,walkway,10,37.7765806,-122.4176651,0.1525,0.1869,0,0
w417242642,Polk Street003,highway,tertiary,road,3,37.7765685,-122.4175366,0.1638,0.1855,0,0
w417242654,Market Street030,highway,secondary,road,2,37.7765663,-122.4175947,0.1587,0.1853,0,0
w417269470,Market Street031,highway,secondary,road,7,37.7795404,-122.4138445,0.4883,0.5160,0,0
w419633755,Market Street032,highway,secondary,road,3,37.7784283,-122.4150399,0.3832,0.3923,0,0
w419633756,Market Street033,highway,secondary,road,3,37.7777331,-122.4159264,0.3053,0.3150,0,0
w437874489,12th Street004,highway,residential,slowroad,4,37.7739941,-122.4198067,-0.0357,-0.1007,0,0
w437969685,Market Street034,highway,secondary,road,2,37.7752378,-122.4192925,0.0094,0.0376,0,0
w451782993,service015,highway,service,driveway,2,37.7765570,-122.4158505,0.3120,0.1842,0,0
w458778350,service016,highway,service,driveway,14,37.7703987,-122.4180078,0.1224,-0.5005,0,0
w458778351,service017,highway,service,driveway,2,37.7706819,-122.4179874,0.1242,-0.4690,0,0
w458778353,service018,highway,service,driveway,3,37.7708149,-122.4196210,-0.0194,-0.4542,0,0
w458778354,service019,highway,service,driveway,3,37.7709252,-122.4195850,-0.0163,-0.4420,0,0
w458778355,service020,highway,service,driveway,3,37.7709118,-122.4189420,0.0403,-0.4435,0,0
w458778356,service021,highway,service,driveway,4,37.7708411,-122.4192565,0.0126,-0.4513,0,0
w458778357,service022,highway,service,driveway,6,37.7703898,-122.4181200,0.1125,-0.5015,0,0
w458778746,footway036,highway,footway,walkway,15,37.7714235,-122.4188391,0.0493,-0.3866,0,0
w459465678,service023,highway,service,driveway,2,37.7779128,-122.4220599,-0.2338,0.3350,0,0
w465213825,Market Street035,highway,primary,road,3,37.7716526,-122.4235957,-0.3688,-0.3611,0,0
w467959666,Market Street036,highway,secondary,road,3,37.7754659,-122.4190012,0.0351,0.0629,0,0
w468552082,Grove Street004,highway,residential,slowroad,7,37.7783802,-122.4191140,0.0251,0.3870,0,0
w478910379,Polk Street004,highway,cycleway,walkway,6,37.7779840,-122.4181056,0.1138,0.3429,0,0
w478910380,Polk Street005,highway,cycleway,walkway,14,37.7769629,-122.4178362,0.1374,0.2294,0,0
w482492971,Linden Street002,highway,residential,slowroad,3,37.7765488,-122.4219011,-0.2198,0.1833,0,0
w482492972,Gough Street009,highway,secondary,road,3,37.7761394,-122.4228456,-0.3028,0.1378,0,0
w499983734,service024,highway,service,driveway,2,37.7705707,-122.4160047,0.2984,-0.4814,0,0
w499983736,service025,highway,service,driveway,3,37.7709573,-122.4158865,0.3088,-0.4384,0,0
w499983738,service026,highway,service,driveway,2,37.7709814,-122.4168616,0.2231,-0.4357,0,0
w499983740,service027,highway,service,driveway,3,37.7711215,-122.4169441,0.2158,-0.4202,0,0
w499983742,service028,highway,service,driveway,2,37.7709668,-122.4171321,0.1993,-0.4374,0,0
w499983744,service029,highway,service,driveway,2,37.7712116,-122.4171752,0.1955,-0.4101,0,0
w499983747,service030,highway,service,driveway,2,37.7704337,-122.4162838,0.2739,-0.4966,0,0
w499983749,service031,highway,service,driveway,7,37.7704697,-122.4164536,0.2590,-0.4926,0,0
w499983753,service032,highway,service,driveway,4,37.7705297,-122.4169863,0.2121,-0.4860,0,0
w499983756,service033,highway,service,driveway,3,37.7708220,-122.4161194,0.2883,-0.4535,0,0
w499983757,service034,highway,service,driveway,2,37.7710225,-122.4172814,0.1862,-0.4312,0,0
w502795483,Grove Street005,highway,residential,slowroad,2,37.7782603,-122.4198985,-0.0438,0.3736,0,0
w502795544,Van Ness Avenue004,highway,primary,road,5,37.7793164,-122.4200347,-0.0558,0.4911,0,0
w505699357,service035,highway,service,driveway,3,37.7779902,-122.4143594,0.4430,0.3436,0,0
w505699358,service036,highway,service,driveway,3,37.7779421,-122.4142670,0.4511,0.3383,0,0
w507188657,Van Ness Avenue005,highway,primary,road,3,37.7751470,-122.4193374,0.0055,0.0275,0,0
w507491319,footway037,highway,footway,walkway,3,37.7752106,-122.4217563,-0.2071,0.0345,0,0
w507491320,footway038,highway,footway,walkway,2,37.7752548,-122.4216153,-0.1947,0.0395,0,0
w507491321,footway039,highway,footway,walkway,3,37.7750614,-122.4217182,-0.2038,0.0179,0,0
w507491322,footway040,highway,footway,walkway,3,37.7752167,-122.4210984,-0.1493,0.0352,0,0
w507491323,footway041,highway,footway,walkway,3,37.7750111,-122.4227232,-0.2921,0.0124,0,0
w507491324,steps003,highway,steps,walkway,2,37.7753108,-122.4216258,-0.1956,0.0457,0,0
w507491325,footway042,highway,footway,walkway,3,37.7751535,-122.4215964,-0.1930,0.0282,0,0
w509288241,footway043,highway,footway,walkway,3,37.7751574,-122.4209592,-0.1370,0.0286,0,0
w509288243,footway044,highway,footway,walkway,3,37.7752458,-122.4208615,-0.1285,0.0385,0,0
w509288245,footway045,highway,footway,walkway,3,37.7750376,-122.4225171,-0.2740,0.0153,0,0
w509288246,footway046,highway,footway,walkway,3,37.7749472,-122.4226046,-0.2817,0.0052,0,0
w509288248,footway047,highway,footway,walkway,3,37.7751030,-122.4226346,-0.2843,0.0226,0,0
w511666055,South Van Ness Avenue010,highway,primary,road,2,37.7709842,-122.4179188,0.1302,-0.4354,0,0
w511666056,South Van Ness Avenue011,highway,primary,road,3,37.7709922,-122.4180635,0.1175,-0.4345,0,0
w511666057,South Van Ness Avenue012,highway,primary,road,2,37.7717382,-122.4182977,0.0969,-0.3516,0,0
w512038661,Market Street037,highway,secondary,road,2,37.7775044,-122.4162135,0.2801,0.2896,0,0
w512656656,Laguna Street002,highway,residential,slowroad,4,37.7708460,-122.4250385,-0.4956,-0.4508,0,0
w512874164,Market Street038,highway,primary,road,2,37.7707685,-122.4249612,-0.4888,-0.4594,0,0
w512874165,Laguna Street003,highway,residential,slowroad,6,37.7707589,-122.4248431,-0.4784,-0.4605,0,0
w512874166,Market Street039,highway,primary,road,2,37.7706865,-122.4247963,-0.4743,-0.4685,0,0
w513956099,Valencia Street003,highway,tertiary,road,2,37.7704928,-122.4224278,-0.2661,-0.4901,0,0
w513963921,South Van Ness Avenue013,highway,primary,road,3,37.7750170,-122.4191742,0.0198,0.0130,0,0
w514535079,Hayes Street009,highway,secondary,road,2,37.7769196,-122.4227590,-0.2952,0.2246,0,0
w514535080,Franklin Street006,highway,secondary,road,2,37.7773280,-122.4213980,-0.1756,0.2700,0,0
w514906781,Market Street040,highway,primary,road,3,37.7744684,-122.4200588,-0.0579,-0.0480,0,0
w515493941,Otis Street003,highway,secondary,road,3,37.7718987,-122.4201900,-0.0694,-0.3337,0,0
w521514785,Haight Street004,highway,residential,slowroad,3,37.7728524,-122.4246600,-0.4623,-0.2277,0,0
w525545008,Fell Street011,highway,secondary,road,2,37.7758083,-122.4239938,-0.4038,0.1010,0,0
w527829938,Van Ness Avenue006,highway,primary,road,4,37.7777666,-122.4198761,-0.0418,0.3188,0,0
w527829940,Van Ness Avenue007,highway,primary,road,6,37.7791917,-122.4201633,-0.0671,0.4772,0,0
w527857425,Van Ness Avenue008,highway,primary,road,6,37.7778059,-122.4197230,-0.0284,0.3231,0,0
w529815282,Market Street041,highway,primary,road,2,37.7717656,-122.4234525,-0.3562,-0.3485,0,0
w530033991,Hyde Street002,highway,tertiary,road,3,37.7788319,-122.4148911,0.3963,0.4372,0,0
w530038011,9th Street002,highway,secondary,road,3,37.7774832,-122.4162901,0.2733,0.2872,0,0
w543843588,10th Street002,highway,secondary,road,6,37.7759643,-122.4167749,0.2307,0.1183,0,0
w543844602,Market Street042,highway,secondary,road,5,37.7759231,-122.4181922,0.1062,0.1138,0,0
w546029198,Haight Street005,highway,residential,slowroad,2,37.7731608,-122.4222060,-0.2466,-0.1934,0,0
w546029199,Gough Street010,highway,secondary,road,3,37.7731266,-122.4221172,-0.2388,-0.1972,0,0
w546029200,Haight Street006,highway,residential,slowroad,6,37.7730870,-122.4227937,-0.2983,-0.2016,0,0
w546029201,Gough Street011,highway,secondary,road,4,37.7730566,-122.4222321,-0.2489,-0.2050,0,0
w550601234,footway048,highway,footway,walkway,3,37.7794124,-122.4168125,0.2274,0.5018,0,0
w556608825,service037,highway,service,driveway,4,37.7709438,-122.4177867,0.1418,-0.4399,0,0
w563890798,service038,highway,service,driveway,5,37.7795085,-122.4227343,-0.2931,0.5124,0,0
w563890799,service039,highway,service,driveway,3,37.7776634,-122.4239673,-0.4014,0.3073,0,0
w563890800,service040,highway,service,driveway,3,37.7776410,-122.4241700,-0.4192,0.3048,0,0
w563890801,service041,highway,service,driveway,4,37.7775235,-122.4240684,-0.4103,0.2917,0,0
w563890802,service042,highway,service,driveway,2,37.7780490,-122.4244879,-0.4472,0.3502,0,0
w563890803,service043,highway,service,driveway,3,37.7780128,-122.4245427,-0.4520,0.3461,0,0
w563890804,service044,highway,service,driveway,3,37.7779904,-122.4248272,-0.4770,0.3436,0,0
w563890806,service045,highway,service,driveway,3,37.7791198,-122.4245272,-0.4506,0.4692,0,0
w563890807,service046,highway,service,driveway,2,37.7791254,-122.4243152,-0.4320,0.4698,0,0
w563890808,service047,highway,service,driveway,2,37.7791518,-122.4240881,-0.4120,0.4728,0,0
w563890809,service048,highway,service,driveway,5,37.7792864,-122.4242762,-0.4286,0.4877,0,0
w563926146,service049,highway,service,driveway,2,37.7770237,-122.4144684,0.4334,0.2361,0,0
w563926147,service050,highway,service,driveway,2,37.7770991,-122.4141950,0.4575,0.2445,0,0
w563926149,service051,highway,service,driveway,3,37.7771430,-122.4143185,0.4466,0.2494,0,0
w563926151,service052,highway,service,driveway,2,37.7764274,-122.4137409,0.4974,0.1698,0,0
w563926154,service053,highway,service,driveway,2,37.7737080,-122.4138300,0.4896,-0.1325,0,0
w563926155,service054,highway,service,driveway,2,37.7738106,-122.4139670,0.4775,-0.1211,0,0
w563926157,service055,highway,service,driveway,4,37.7738724,-122.4137466,0.4969,-0.1143,0,0
w563926159,service056,highway,service,driveway,2,37.7745614,-122.4158219,0.3145,-0.0377,0,0
w563926160,service057,highway,service,driveway,2,37.7748986,-122.4162813,0.2741,-0.0002,0,0
w563926162,service058,highway,service,driveway,2,37.7747202,-122.4160395,0.2954,-0.0200,0,0
w563926164,service059,highway,service,driveway,2,37.7752788,-122.4155574,0.3377,0.0421,0,0
w563926166,service060,highway,service,driveway,2,37.7753899,-122.4156758,0.3273,0.0545,0,0
w563926168,service061,highway,service,driveway,2,37.7743628,-122.4159173,0.3061,-0.0597,0,0
w563926170,service062,highway,service,driveway,2,37.7741253,-122.4156584,0.3289,-0.0861,0,0
w563926171,service063,highway,service,driveway,6,37.7742454,-122.4158551,0.3116,-0.0728,0,0
w563926174,service064,highway,service,driveway,2,37.7766284,-122.4143499,0.4439,0.1922,0,0
w563926176,service065,highway,service,driveway,2,37.7770088,-122.4146596,0.4166,0.2345,0,0
w563926177,service066,highway,service,driveway,3,37.7768514,-122.4145322,0.4278,0.2170,0,0
w563926180,service067,highway,service,driveway,5,37.7768987,-122.4145968,0.4222,0.2222,0,0
w563926182,service068,highway,service,driveway,2,37.7753280,-122.4198282,-0.0376,0.0476,0,0
w563926184,service069,highway,service,driveway,2,37.7752378,-122.4197099,-0.0272,0.0376,0,0
w563926185,service070,highway,service,driveway,3,37.7751974,-122.4198058,-0.0357,0.0331,0,0
w563926190,service071,highway,service,driveway,4,37.7739833,-122.4204939,-0.0961,-0.1019,0,0
w563926191,service072,highway,service,driveway,2,37.7737143,-122.4201312,-0.0643,-0.1318,0,0
w563926192,service073,highway,service,driveway,2,37.7737885,-122.4202217,-0.0722,-0.1236,0,0
w563926193,service074,highway,service,driveway,2,37.7739015,-122.4202504,-0.0747,-0.1110,0,0
w563926194,service075,highway,service,driveway,2,37.7739887,-122.4203622,-0.0846,-0.1013,0,0
w563926195,service076,highway,service,driveway,5,37.7737662,-122.4202761,-0.0770,-0.1261,0,0
w563926196,service077,highway,service,driveway,2,37.7752524,-122.4204204,-0.0897,0.0392,0,0
w563926197,service078,highway,service,driveway,2,37.7752306,-122.4205939,-0.1049,0.0368,0,0
w563926198,service079,highway,service,driveway,2,37.7752095,-122.4207583,-0.1194,0.0344,0,0
w563926200,service080,highway,service,driveway,2,37.7748962,-122.4208035,-0.1234,-0.0004,0,0
w563926201,service081,highway,service,driveway,2,37.7747780,-122.4203224,-0.0811,-0.0136,0,0
w563926202,service082,highway,service,driveway,2,37.7750551,-122.4205547,-0.1015,0.0172,0,0
w563926203,service083,highway,service,driveway,2,37.7750341,-122.4207264,-0.1166,0.0149,0,0
