osm_nid,lat,lng,x,z
osm6800579767,37.41366720,-122.05823350,-0.897,-0.416
osm6800579766,37.41364380,-122.05822280,-0.899,-0.416
osm26381630,37.41357720,-122.05818260,-0.907,-0.420
osm6800579769,37.41352070,-122.05815840,-0.913,-0.422
osm2610278770,37.41308260,-122.05792880,-0.962,-0.442
osm6810264089,37.41259770,-122.05768840,-1.015,-0.464
osm2610278780,37.41242500,-122.05759140,-1.035,-0.472
osm6810257101,37.41221900,-122.05749590,-1.058,-0.481
osm6810264088,37.41219830,-122.05748320,-1.060,-0.482
osm65668092,37.41213140,-122.05744540,-1.067,-0.485
osm29523987,37.42635910,-122.05756730,0.515,-0.474
osm3603100408,37.42718400,-122.06189970,0.606,-0.092
osm6821552781,37.41899710,-122.06587890,-0.304,0.260
osm687821520,37.41796410,-122.06409040,-0.419,0.102
osm687821524,37.41781290,-122.06406900,-0.436,0.100
osm29381099,37.41767870,-122.06402340,-0.450,0.096
osm29381100,37.41754020,-122.06395900,-0.466,0.090
osm687821535,37.41714400,-122.06395630,-0.510,0.090
osm687821537,37.41704810,-122.06392950,-0.521,0.087
osm687821539,37.41696930,-122.06387850,-0.529,0.083
osm29381101,37.41690110,-122.06380610,-0.537,0.077
osm6821552759,37.41377800,-122.06376050,-0.884,0.073
osm6849092191,37.41377010,-122.06319900,-0.885,0.023
osm6831102024,37.41376440,-122.06201750,-0.886,-0.081
osm686277308,37.41376430,-122.06199110,-0.886,-0.084
osm6831102021,37.41376730,-122.06178680,-0.885,-0.102
osm29523965,37.41377070,-122.06175100,-0.885,-0.105
osm6849086812,37.41386830,-122.06146230,-0.874,-0.130
osm6800600106,37.41407690,-122.06084530,-0.851,-0.185
osm6800600103,37.41417960,-122.06053690,-0.840,-0.212
osm6800600102,37.41439680,-122.05989630,-0.815,-0.269
osm6800579780,37.41453640,-122.05948010,-0.800,-0.305
osm6800579784,37.41468690,-122.05904060,-0.783,-0.344
osm6800579754,37.41473400,-122.05890340,-0.778,-0.356
osm6800579777,37.41479310,-122.05870900,-0.771,-0.374
osm2453009922,37.41514570,-122.05758650,-0.732,-0.473
osm6810267120,37.41528100,-122.05716620,-0.717,-0.510
osm6810267122,37.41536080,-122.05691830,-0.708,-0.532
osm687817321,37.41545670,-122.05662040,-0.698,-0.558
osm687817340,37.41549300,-122.05655340,-0.694,-0.564
osm687817976,37.41576140,-122.05573530,-0.664,-0.636
osm29523970,37.41903990,-122.06054990,-0.299,-0.211
osm1929365915,37.41991460,-122.06022150,-0.202,-0.240
osm29523989,37.42417590,-122.05878540,0.272,-0.367
osm687863497,37.41717960,-122.05438140,-0.506,-0.756
osm29523988,37.42432910,-122.05745200,0.289,-0.485
osm687866004,37.42429290,-122.05767190,0.285,-0.465
osm687866007,37.42421410,-122.05833980,0.276,-0.406
osm1774346209,37.41644710,-122.07812890,-0.587,1.341
osm553500898,37.41635370,-122.07813190,-0.598,1.342
osm4913265853,37.41613840,-122.07814000,-0.622,1.342
osm4177242970,37.41586420,-122.07815030,-0.652,1.343
osm65436672,37.41099690,-122.05371240,-1.193,-0.815
osm65436676,37.41445660,-122.05548220,-0.809,-0.659
osm686350802,37.41054490,-122.06080660,-1.244,-0.188
osm686350962,37.41049160,-122.06042300,-1.250,-0.222
osm65454531,37.41428190,-122.05601960,-0.828,-0.611
osm6473951323,37.41850220,-122.07756820,-0.359,1.292
osm1393588846,37.41849640,-122.07688260,-0.360,1.231
osm1393588845,37.41849220,-122.07617990,-0.360,1.169
osm65485904,37.41849100,-122.07598740,-0.360,1.152
osm553500904,37.41850390,-122.07582680,-0.359,1.138
osm553500903,37.41853710,-122.07566960,-0.355,1.124
osm1393902401,37.41854250,-122.07564410,-0.354,1.122
osm65485908,37.41871600,-122.07481950,-0.335,1.049
osm6410475497,37.41874060,-122.07464930,-0.332,1.034
osm553500915,37.41874390,-122.07447040,-0.332,1.018
osm1394492342,37.41874040,-122.07421340,-0.332,0.996
osm1394492343,37.41874450,-122.07396330,-0.332,0.974
osm4486183253,37.41875060,-122.07354800,-0.331,0.937
osm1394492344,37.41873900,-122.07258650,-0.333,0.852
osm553500914,37.41873960,-122.07164940,-0.333,0.769
osm1394492345,37.41876830,-122.07156720,-0.329,0.762
osm65485925,37.41877910,-122.07153630,-0.328,0.759
osm553500918,37.41886510,-122.07149080,-0.319,0.755
osm553500917,37.41896330,-122.07148020,-0.308,0.754
osm4486183256,37.41933430,-122.07148690,-0.266,0.755
osm65485928,37.41957750,-122.07149130,-0.239,0.755
osm553500939,37.41972200,-122.07146810,-0.223,0.753
