osm_nid,lat,lng,x,z
osm7007316893,1.27531120,103.82945700,0.414,-0.035
osm236822831,1.27510260,103.82972710,0.391,-0.065
osm5686987800,1.27454730,103.83034670,0.329,-0.134
osm236822864,1.27418020,103.83075620,0.288,-0.180
osm236822893,1.27349800,103.83153690,0.212,-0.266
osm1363479446,1.27326480,103.83190940,0.186,-0.308
osm236822921,1.27306310,103.83230170,0.164,-0.351
osm236822950,1.27285730,103.83307540,0.141,-0.437
osm4280013887,1.27280270,103.83399460,0.135,-0.540
osm236822985,1.27279540,103.83411720,0.134,-0.553
osm4280014496,1.27281450,103.83468190,0.136,-0.616
osm236823008,1.27285020,103.83573420,0.140,-0.733
osm248902766,1.26269350,103.83194300,-0.989,-0.312
osm248902875,1.26317540,103.83202370,-0.936,-0.321
osm249797210,1.27988270,103.83652100,0.922,-0.821
osm249797211,1.28091440,103.83713310,1.037,-0.889
osm1814232981,1.28098040,103.83716470,1.044,-0.892
osm249797212,1.28105950,103.83719160,1.053,-0.895
osm1814232985,1.28112410,103.83720640,1.060,-0.897
osm1814232988,1.28119900,103.83721020,1.068,-0.897
osm249797213,1.28131300,103.83719550,1.081,-0.896
osm1814232990,1.28139370,103.83715620,1.090,-0.891
osm249797230,1.28146140,103.83709200,1.098,-0.884
osm249797231,1.28181330,103.83653530,1.137,-0.822
osm249797232,1.28184150,103.83637370,1.140,-0.804
osm249797233,1.28182620,103.83624910,1.138,-0.790
osm249797234,1.28175600,103.83613530,1.130,-0.778
osm4606265663,1.27812500,103.83194100,0.727,-0.311
osm4711961689,1.27827620,103.83201840,0.743,-0.320
osm4711961690,1.27841560,103.83212090,0.759,-0.331
osm4711961691,1.27854470,103.83226980,0.773,-0.348
osm4711961692,1.27864310,103.83242840,0.784,-0.366
osm4711961693,1.27873170,103.83259900,0.794,-0.385
osm5131269923,1.27883710,103.83281940,0.806,-0.409
osm5131269922,1.27886720,103.83288400,0.809,-0.416
osm409640448,1.27892260,103.83296230,0.815,-0.425
osm5974710529,1.27902170,103.83641070,0.826,-0.808
osm1831896373,1.27908130,103.83632510,0.833,-0.799
osm1831896125,1.27919120,103.83616280,0.845,-0.781
osm249797206,1.27924970,103.83605330,0.852,-0.769
osm243210031,1.27948760,103.82859800,0.878,0.060
osm1790050938,1.27947380,103.82866410,0.877,0.053
osm1790050936,1.27947000,103.82873500,0.876,0.045
osm1790050937,1.27947550,103.82883630,0.877,0.034
osm1790050939,1.27949970,103.82892050,0.880,0.024
osm1790050941,1.27954280,103.82899180,0.884,0.016
osm249799926,1.27964400,103.82908410,0.896,0.006
osm249799927,1.27916890,103.82898170,0.843,0.018
osm8024177546,1.27922970,103.82898010,0.849,0.018
osm1790050932,1.27928100,103.82897880,0.855,0.018
osm1790050935,1.27941200,103.82898670,0.870,0.017
osm1790050940,1.27952470,103.82902340,0.882,0.013
osm249799932,1.28062750,103.83059150,1.005,-0.161
osm6076285972,1.28058310,103.83058150,1.000,-0.160
osm6064232258,1.28056170,103.83057510,0.998,-0.160
osm6076285971,1.28054790,103.83056940,0.996,-0.159
osm1790057745,1.28052860,103.83055670,0.994,-0.157
osm249799934,1.28002880,103.83010790,0.938,-0.108
osm5980910306,1.27968810,103.82985370,0.900,-0.079
osm249799946,1.27946790,103.82968950,0.876,-0.061
osm1790050929,1.27922340,103.82952140,0.849,-0.042
osm1790057741,1.27912910,103.82949840,0.838,-0.040
osm249799947,1.27902760,103.82950050,0.827,-0.040
osm1790057737,1.27894560,103.82952590,0.818,-0.043
osm1790057734,1.27886440,103.82957170,0.809,-0.048
osm249799948,1.27878720,103.82960920,0.800,-0.052
osm249799949,1.27900110,103.82897720,0.824,0.018
osm243210030,1.27902600,103.82918620,0.827,-0.005
osm249799950,1.27895050,103.82904960,0.818,0.010
osm248902566,1.26011790,103.82432320,-1.276,0.535
osm316161110,1.26041770,103.82420500,-1.242,0.549
osm316161111,1.26071240,103.82411450,-1.210,0.559
osm316161112,1.26104490,103.82403940,-1.173,0.567
osm316161113,1.26136410,103.82399830,-1.137,0.572
osm1363301900,1.26166370,103.82398280,-1.104,0.573
osm316161114,1.26203190,103.82399050,-1.063,0.572
osm316161115,1.26312360,103.82402870,-0.941,0.568
osm4747856142,1.26581840,103.82378850,-0.642,0.595
osm6691305851,1.26580010,103.82381240,-0.644,0.592
osm5015083979,1.26577420,103.82383690,-0.647,0.590
osm4747856140,1.26574440,103.82384930,-0.650,0.588
osm597109128,1.26567260,103.82387210,-0.658,0.586
osm4459074314,1.27667410,103.83373460,0.565,-0.511
osm7385823411,1.27663460,103.83377800,0.561,-0.516
osm6472182622,1.27659570,103.83382910,0.557,-0.521
osm243210015,1.27637880,103.83410980,0.532,-0.552
osm1814207298,1.27628780,103.83425580,0.522,-0.569
osm5284743523,1.27624280,103.83434460,0.517,-0.579
osm243210013,1.27620880,103.83444120,0.514,-0.589
osm1814207295,1.27618910,103.83452350,0.511,-0.598
osm1814207294,1.27617810,103.83459700,0.510,-0.607
osm1814207293,1.27617260,103.83468810,0.510,-0.617
osm5284743522,1.27617260,103.83475830,0.510,-0.625
osm243210011,1.27617480,103.83482410,0.510,-0.632
osm7118869414,1.27748540,103.83663310,0.656,-0.833
osm7118859868,1.27765120,103.83683350,0.674,-0.855
osm6472182642,1.27766180,103.83684600,0.675,-0.857
osm7118859882,1.27766730,103.83685280,0.676,-0.857
osm5138586950,1.27767880,103.83686700,0.677,-0.859
osm566522008,1.27228600,103.83185520,0.077,-0.302
osm566522010,1.27240900,103.83199490,0.091,-0.317
osm4600804461,1.27252210,103.83213960,0.104,-0.333
osm4600804460,1.27259190,103.83227090,0.111,-0.348
osm4600804459,1.27263350,103.83241890,0.116,-0.365
osm4600804458,1.27265510,103.83257690,0.118,-0.382
osm4600804457,1.27265340,103.83276490,0.118,-0.403
osm388571820,1.27267120,103.83325270,0.120,-0.457
osm388571817,1.27483560,103.82953890,0.361,-0.044
osm1363479457,1.27477160,103.82966510,0.354,-0.058
osm4600804453,1.27427560,103.83028440,0.299,-0.127
osm388571818,1.27305850,103.83173630,0.163,-0.289
osm1363479443,1.27294550,103.83191420,0.151,-0.308
osm4600804452,1.27287230,103.83207050,0.143,-0.326
osm4600804451,1.27283240,103.83218190,0.138,-0.338
osm7081694347,1.27281320,103.83225470,0.136,-0.346
osm1363479442,1.27279250,103.83233330,0.134,-0.355
osm4600804450,1.27275590,103.83250130,0.130,-0.374
osm4600804449,1.27273730,103.83265320,0.128,-0.391
osm388571819,1.27273200,103.83274650,0.127,-0.401
