osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w162178702,سكة الحنان,highway,residential,slowroad,2,25.2689361,51.5423736,0.9089,-1.9716,0,0
w162178705,بشر بن البراء,highway,residential,slowroad,2,25.2688541,51.5439040,1.0628,-1.9807,0,0
w162178712,سكة الاخاء,highway,residential,slowroad,2,25.2687076,51.5422399,0.8955,-1.9970,0,0
w162178727,service95,highway,service,driveway,2,25.2683861,51.5489041,1.5655,-2.0327,0,0
w162178731,سكة الصلاح,highway,residential,slowroad,2,25.2683163,51.5418674,0.8581,-2.0405,0,0
w162178747,الحارث بن مسلم,highway,residential,slowroad,2,25.2690526,51.5440704,1.0795,-1.9586,0,0
w162178795,النعمان بن بشير,highway,residential,slowroad,3,25.2689555,51.5451116,1.1842,-1.9694,0,0
w162178803,سكة الصفاء,highway,residential,slowroad,3,25.2696570,51.5421147,0.8829,-1.8914,0,0
w162178953,residential09,highway,residential,slowroad,3,25.2687709,51.5485879,1.5337,-1.9900,0,0
w162178958,الخالدية01,highway,residential,slowroad,5,25.2698605,51.5426419,0.9359,-1.8688,0,0
w162179013,residential10,highway,residential,slowroad,7,25.2680469,51.5479690,1.4715,-2.0705,0,0
w162179029,الخالدية02,highway,unclassified,road,6,25.2697263,51.5423492,0.9065,-1.8837,0,0
w162179042,ابن حذيفة,highway,residential,slowroad,7,25.2682032,51.5426875,0.9405,-2.0531,0,0
w162179046,الخريب,highway,residential,slowroad,12,25.2683085,51.5462585,1.2995,-2.0414,0,0
w162590962,شارع المطار14,highway,primary,road,12,25.2701684,51.5475506,1.4294,-1.8346,0,0
w162590968,الطريق الدائري الثالثي09,highway,trunk,road,18,25.2709964,51.5519362,1.8704,-1.7425,0,0
w162590973,trunk_link15,highway,trunk_link,road,8,25.2910517,51.5356413,0.2321,0.4876,0,0
w162590982,شارع المطار15,building,construction,bldwall,15,25.2697440,51.5508285,1.7590,-1.8818,0,0
w162593215,شارع حمد الكبير03,highway,service,driveway,6,25.2816246,51.5348653,0.1541,-0.5607,0,0
w162593216,المأمون,highway,residential,slowroad,4,25.2807239,51.5329131,-0.0422,-0.6608,0,0
w162593218,العاصمة,highway,residential,slowroad,9,25.2822469,51.5342550,0.0927,-0.4915,0,0
w162593219,صلالة,highway,residential,slowroad,5,25.2801972,51.5340710,0.0742,-0.7194,0,0
w162593220,العاصمة01,highway,residential,slowroad,3,25.2809628,51.5347390,0.1414,-0.6343,0,0
w162593221,ابن عباس,highway,residential,slowroad,4,25.2817751,51.5329435,-0.0392,-0.5440,0,0
w162657793,شارع احمد بن محمد بن ثني07,highway,primary,road,2,25.2800444,51.5354535,0.2132,-0.7364,0,0
w162657794,شارع احمد بن محمد بن ثني08,highway,primary,road,2,25.2797566,51.5352460,0.1923,-0.7684,0,0
w162657797,شارع المطار16,highway,primary,road,2,25.2798244,51.5354726,0.2151,-0.7609,0,0
w162657801,شارع حمد الكبير04,highway,primary,road,2,25.2799781,51.5352197,0.1897,-0.7438,0,0
w162657808,primary_link53,highway,primary_link,road,2,25.2799549,51.5354711,0.2150,-0.7464,0,0
w162657816,primary_link54,highway,primary_link,road,2,25.2799873,51.5353004,0.1978,-0.7427,0,0
w162657824,primary_link55,highway,primary_link,road,2,25.2797833,51.5353877,0.2066,-0.7654,0,0
w162657828,primary_link56,highway,primary_link,road,2,25.2798292,51.5352369,0.1914,-0.7603,0,0
w162723716,شارع المنصورة11,highway,secondary,road,3,25.2721203,51.5447354,1.1464,-1.6175,0,0
w162723717,شارع المنصورة12,highway,secondary,road,2,25.2721748,51.5446559,1.1384,-1.6115,0,0
w162723718,شارع المطار17,highway,primary,road,16,25.2746376,51.5414407,0.8152,-1.3376,0,0
w162723719,شارع المطار18,highway,primary,road,2,25.2720789,51.5446345,1.1363,-1.6221,0,0
w162723720,شارع المطار19,highway,primary,road,10,25.2707469,51.5464466,1.3184,-1.7702,0,0
w162723813,شارع المنصورة13,highway,secondary,road,3,25.2720433,51.5445352,1.1263,-1.6261,0,0
w165287953,ام وشاح,highway,residential,slowroad,4,25.2823984,51.5268876,-0.6480,-0.4746,0,0
w165287955,المسيلة,highway,residential,slowroad,10,25.2812177,51.5308654,-0.2481,-0.6059,0,0
w165287956,ام وشاح01,highway,service,driveway,2,25.2825988,51.5279814,-0.5381,-0.4524,0,0
w165287957,اغادير,highway,residential,slowroad,20,25.2815791,51.5276114,-0.5752,-0.5658,0,0
w165287958,الجهراء,highway,residential,slowroad,3,25.2814219,51.5298125,-0.3540,-0.5832,0,0
w165287959,مسافي,highway,residential,slowroad,7,25.2813394,51.5295182,-0.3835,-0.5924,0,0
w165287961,سكة البشائر,highway,residential,slowroad,2,25.2821088,51.5298047,-0.3547,-0.5068,0,0
w165287962,المغيرة,highway,residential,slowroad,4,25.2815555,51.5270990,-0.6268,-0.5684,0,0
w165287963,ابن حنبل,highway,residential,slowroad,2,25.2810385,51.5298803,-0.3471,-0.6259,0,0
w165287966,النجادة,highway,residential,slowroad,9,25.2839999,51.5299186,-0.3433,-0.2966,0,0
w165287967,النجم,highway,residential,slowroad,6,25.2811526,51.5301358,-0.3214,-0.6132,0,0
w165287968,العريق,highway,residential,slowroad,12,25.2803896,51.5305496,-0.2798,-0.6980,0,0
w165287969,ابو الحارث,highway,residential,slowroad,2,25.2836501,51.5313189,-0.2025,-0.3355,0,0
w165287970,Ahmed Bin Mohammed Bin Thani Street,highway,residential,slowroad,4,25.2818160,51.5253716,-0.8004,-0.5394,0,0
w165287971,الميمون,highway,residential,slowroad,14,25.2828040,51.5308713,-0.2475,-0.4296,0,0
w165287972,residential11,highway,residential,slowroad,4,25.2798042,51.5306710,-0.2676,-0.7631,0,0
w165287973,ابن الوليد,highway,residential,slowroad,5,25.2813148,51.5267185,-0.6650,-0.5951,0,0
w165287974,سكة الاشراق,highway,residential,slowroad,4,25.2837954,51.5312453,-0.2099,-0.3193,0,0
w165287975,service96,highway,service,driveway,5,25.2796704,51.5300683,-0.3282,-0.7780,0,0
w165287977,شارع الهفوف01,highway,residential,slowroad,11,25.2810894,51.5269061,-0.6462,-0.6202,0,0
w165287978,البرج,highway,residential,slowroad,5,25.2810229,51.5291678,-0.4188,-0.6276,0,0
w165287979,الاصفهاني,highway,residential,slowroad,3,25.2807729,51.5271068,-0.6260,-0.6554,0,0
w165305471,residential12,highway,residential,slowroad,3,25.2736132,51.5164216,-1.7003,-1.4515,0,0
w165305472,service97,highway,service,driveway,8,25.2745952,51.5151924,-1.8239,-1.3423,0,0
w165305474,service98,highway,service,driveway,9,25.2750740,51.5156659,-1.7763,-1.2891,0,0
w165305475,service99,highway,service,driveway,3,25.2738875,51.5140446,-1.9393,-1.4210,0,0
w165305477,service100,highway,service,driveway,2,25.2739227,51.5139045,-1.9533,-1.4171,0,0
w165305479,service101,highway,service,driveway,3,25.2734715,51.5143170,-1.9119,-1.4673,0,0
w165305480,living_street13,highway,living_street,slowroad,3,25.2736132,51.5168662,-1.6556,-1.4515,0,0
w165306429,service102,highway,service,driveway,9,25.2773540,51.5184669,-1.4946,-1.0356,0,0
w165309581,علي بن عمر العطية05,highway,primary,road,2,25.2866466,51.5441764,1.0902,-0.0023,0,0
w165309582,علي بن عمر العطية06,highway,primary,road,2,25.2866282,51.5439891,1.0714,-0.0043,0,0
w165309583,علي بن عمر العطية07,highway,primary,road,9,25.2886087,51.5442052,1.0931,0.2159,0,0
w165309584,شارع المتحف01,highway,tertiary,road,15,25.2867543,51.5417616,0.8474,0.0097,0,0
w165309585,شارع المتحف02,highway,tertiary,road,2,25.2867105,51.5439584,1.0683,0.0048,0,0
w165309586,شارع المتحف03,highway,tertiary,road,2,25.2867873,51.5442166,1.0942,0.0134,0,0
w165309587,شارع المتحف04,highway,tertiary,road,15,25.2867895,51.5463411,1.3078,0.0136,0,0
w165309592,primary_link57,highway,primary_link,road,6,25.2873937,51.5440593,1.0784,0.0808,0,0
w165390577,شارع نجمة02,highway,residential,slowroad,4,25.2747576,51.5367562,0.3442,-1.3243,0,0
w165440003,عدي بن زيد,highway,residential,slowroad,4,25.2846657,51.5451870,1.1918,-0.2225,0,0
