osm_nid,lat,lng,x,z
osm36882692,48.50677000,-121.27921300,-0.646,3.204
osm36882691,48.50862000,-121.28020900,-0.440,3.277
osm36882690,48.50964900,-121.28172100,-0.325,3.389
osm36882689,48.51200300,-121.28357700,-0.064,3.525
osm36882688,48.51259700,-121.28381800,0.002,3.543
osm36882687,48.51330500,-121.28433300,0.081,3.581
osm36882686,48.51387600,-121.28457300,0.145,3.599
osm36882685,48.51497300,-121.28539800,0.267,3.659
osm36882684,48.51707500,-121.28646300,0.500,3.738
osm36882683,48.51794400,-121.28735700,0.597,3.804
osm36882682,48.51840100,-121.28821600,0.648,3.867
osm36882681,48.51920100,-121.29003800,0.737,4.001
osm36882680,48.51993200,-121.29131000,0.818,4.095
osm36882679,48.52160000,-121.29340700,1.003,4.249
osm36882678,48.52368000,-121.29629700,1.235,4.462
osm36882677,48.52395400,-121.29636500,1.265,4.467
osm36882676,48.52422800,-121.29626200,1.296,4.460
osm36882674,48.52438800,-121.29602100,1.313,4.442
osm36882673,48.52438800,-121.29554000,1.313,4.407
osm36882672,48.52365700,-121.29454200,1.232,4.333
osm36882671,48.52272000,-121.29351000,1.128,4.257
osm36882670,48.52150800,-121.29127500,0.993,4.092
osm36882669,48.52130300,-121.29027800,0.970,4.019
osm36882668,48.52070800,-121.28838700,0.904,3.880
osm36882667,48.51954200,-121.28529200,0.775,3.652
osm36882666,48.51901700,-121.28412300,0.716,3.566
osm36882665,48.51833100,-121.28298900,0.640,3.482
osm36882664,48.51696000,-121.28123600,0.487,3.353
osm36882663,48.51586300,-121.28003200,0.365,3.264
osm36882659,48.51472100,-121.27817600,0.238,3.127
osm36882657,48.51444600,-121.27745400,0.208,3.074
osm36882656,48.51456000,-121.27714500,0.221,3.052
osm36882655,48.51483500,-121.27711000,0.251,3.049
osm36882654,48.51664000,-121.27893100,0.452,3.183
osm36882653,48.51787400,-121.28078800,0.589,3.320
osm36882652,48.51835400,-121.28137300,0.642,3.363
osm36882651,48.51920000,-121.28209400,0.737,3.416
osm36882650,48.51988500,-121.28254100,0.813,3.449
osm36882649,48.52095900,-121.28267800,0.932,3.459
osm36882648,48.52180400,-121.28247100,1.026,3.444
osm36882647,48.52246700,-121.28257400,1.100,3.451
osm36882646,48.52420400,-121.28377600,1.293,3.540
