osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w139106361,Mannheimer Strasse004,highway,residential,slowroad,8,50.1053082,8.6626867,-1.3467,-0.5734,0,0
w139106362,Am Hauptbahnhof008,highway,unclassified,road,5,50.1076505,8.6643531,-1.2279,-0.3130,0,0
w139106363,Am Hauptbahnhof009,highway,unclassified,road,7,50.1080372,8.6636355,-1.2791,-0.2700,0,0
w139110194,primary_link006,highway,primary_link,road,8,50.1094797,8.6606392,-1.4927,-0.1096,0,0
w139110756,footway167,highway,footway,walkway,2,50.1089458,8.6618285,-1.4079,-0.1689,0,0
w139110759,footway168,highway,footway,walkway,2,50.1088821,8.6617597,-1.4128,-0.1760,0,0
w139113367,service067,highway,service,driveway,3,50.1060313,8.6648894,-1.1896,-0.4930,0,0
w139120748,service068,highway,service,driveway,7,50.1056680,8.6639597,-1.2559,-0.5334,0,0
w139133558,Am Hauptbahnhof010,highway,primary,road,6,50.1080744,8.6636862,-1.2754,-0.2658,0,0
w139133562,Karlsruher Strasse001,highway,residential,slowroad,6,50.1053126,8.6630755,-1.3190,-0.5729,0,0
w139133564,Mannheimer Strasse005,highway,residential,slowroad,5,50.1054366,8.6629919,-1.3250,-0.5591,0,0
w139133567,Mannheimer Strasse006,highway,residential,slowroad,3,50.1053949,8.6631609,-1.3129,-0.5638,0,0
w139133568,Mannheimer Strasse007,highway,residential,slowroad,3,50.1053958,8.6634895,-1.2895,-0.5637,0,0
w139133570,Mannheimer Strasse008,highway,residential,slowroad,4,50.1056992,8.6642718,-1.2337,-0.5299,0,0
w139133571,Mannheimer Strasse009,highway,residential,slowroad,5,50.1054546,8.6635468,-1.2854,-0.5571,0,0
w139133573,service069,highway,service,driveway,3,50.1054383,8.6633684,-1.2981,-0.5589,0,0
w139133576,service070,highway,service,driveway,4,50.1053541,8.6632882,-1.3038,-0.5683,0,0
w139135247,Baseler Strasse002,highway,primary,road,5,50.1057132,8.6651556,-1.1707,-0.5284,0,0
w139158234,footway169,highway,footway,walkway,4,50.1072004,8.6636756,-1.2762,-0.3630,0,0
w139160017,Karlsruher Strasse002,highway,residential,slowroad,3,50.1054014,8.6629340,-1.3291,-0.5630,0,0
w139161391,Baseler Strasse003,highway,primary,road,3,50.1060599,8.6650495,-1.1782,-0.4898,0,0
w139161394,Baseler Strasse004,highway,primary,road,4,50.1058683,8.6649933,-1.1822,-0.5111,0,0
w139161395,service071,highway,service,driveway,3,50.1061795,8.6652042,-1.1672,-0.4765,0,0
w139161396,Taunusstrasse001,highway,secondary_link,road,6,50.1080831,8.6640328,-1.2507,-0.2649,0,0
