osm_wid,osm_nid_1,osm_nid_2,linkuse,comment
w93394091,osm1082877367,osm1082881764,road,"tertiary001.link1"
w93394091,osm4488084017,osm1082877367,road,"tertiary001.link2"
w93394091,osm2563978829,osm4488084017,road,"tertiary001.link3"
w93394091,osm4488084018,osm2563978829,road,"tertiary001.link4"
w93394091,osm1488907729,osm4488084018,road,"tertiary001.link5"
w93394091,osm1082877399,osm1488907729,road,"tertiary001.link6"
w95340463,osm1105703434,osm346078654,road,"Northeast 40th Street001.link1"
w136404346,osm1835913814,osm1082877435,road,"Northeast 36th Street001.link1"
w160067552,osm5935457052,osm6252749492,slowroad,"155th Avenue Northeast.link1"
w160067552,osm53085386,osm5935457052,slowroad,"155th Avenue Northeast.link2"
w160067552,osm2493130182,osm53085386,slowroad,"155th Avenue Northeast.link3"
w160067552,osm53232178,osm2493130182,slowroad,"155th Avenue Northeast.link4"
w160067552,osm407601543,osm53232178,slowroad,"155th Avenue Northeast.link5"
w160067552,osm2493130179,osm407601543,slowroad,"155th Avenue Northeast.link6"
w160067552,osm1738823970,osm2493130179,slowroad,"155th Avenue Northeast.link7"
w160067552,osm53256338,osm1738823970,slowroad,"155th Avenue Northeast.link8"
w160067552,osm53144490,osm53256338,slowroad,"155th Avenue Northeast.link9"
w160067552,osm53252990,osm53144490,slowroad,"155th Avenue Northeast.link10"
w160067552,osm5935457011,osm53252990,slowroad,"155th Avenue Northeast.link11"
w160067552,osm5935457012,osm5935457011,slowroad,"155th Avenue Northeast.link12"
w160067552,osm53149667,osm5935457012,slowroad,"155th Avenue Northeast.link13"
w160067552,osm2493130185,osm53149667,slowroad,"155th Avenue Northeast.link14"
w160067552,osm1721409480,osm2493130185,slowroad,"155th Avenue Northeast.link15"
w160067552,osm2493130173,osm1721409480,slowroad,"155th Avenue Northeast.link16"
w160067552,osm2493130181,osm2493130173,slowroad,"155th Avenue Northeast.link17"
w160067552,osm1721409479,osm2493130181,slowroad,"155th Avenue Northeast.link18"
w160067552,osm2493130180,osm1721409479,slowroad,"155th Avenue Northeast.link19"
w160067552,osm2493136394,osm2493130180,slowroad,"155th Avenue Northeast.link20"
w160067552,osm6097094430,osm2493136394,slowroad,"155th Avenue Northeast.link21"
w160067552,osm6252749494,osm6097094430,slowroad,"155th Avenue Northeast.link22"
w239091598,osm5147868528,osm6199662240,road,"152nd Avenue Northeast001.link1"
w239091598,osm352544253,osm5147868528,road,"152nd Avenue Northeast001.link2"
w239091598,osm5429902641,osm352544253,road,"152nd Avenue Northeast001.link3"
w239091598,osm6323984645,osm5429902641,road,"152nd Avenue Northeast001.link4"
w239091598,osm2672560741,osm6323984645,road,"152nd Avenue Northeast001.link5"
w239091598,osm2500980951,osm2672560741,road,"152nd Avenue Northeast001.link6"
w239091598,osm1082877423,osm2500980951,road,"152nd Avenue Northeast001.link7"
w239091598,osm1488907744,osm1082877423,road,"152nd Avenue Northeast001.link8"
w239091598,osm53091621,osm1488907744,road,"152nd Avenue Northeast001.link9"
w239091598,osm53091623,osm53091621,road,"152nd Avenue Northeast001.link10"
w239091598,osm6046905082,osm53091623,road,"152nd Avenue Northeast001.link11"
w241721283,osm4049735557,osm321548679,road,"150th Avenue Northeast.link1"
w241721283,osm321550016,osm4049735557,road,"150th Avenue Northeast.link2"
w241721283,osm3734071423,osm321550016,road,"150th Avenue Northeast.link3"
w241721283,osm321550017,osm3734071423,road,"150th Avenue Northeast.link4"
w241721283,osm3347107114,osm321550017,road,"150th Avenue Northeast.link5"
w241721283,osm1086545408,osm3347107114,road,"150th Avenue Northeast.link6"
w241721283,osm2657792786,osm1086545408,road,"150th Avenue Northeast.link7"
w241721283,osm1086545419,osm2657792786,road,"150th Avenue Northeast.link8"
w241721283,osm2500884760,osm1086545419,road,"150th Avenue Northeast.link9"
w241721283,osm1488880424,osm2500884760,road,"150th Avenue Northeast.link10"
w241721283,osm1491011789,osm1488880424,road,"150th Avenue Northeast.link11"
w241721283,osm1488880548,osm1491011789,road,"150th Avenue Northeast.link12"
