osm_nid,lat,lng,x,z
osm3666040040,49.99302460,8.67826000,-0.172,-0.106
osm3666040017,49.99316680,8.67825750,-0.156,-0.106
osm3666040191,49.99334610,8.67798640,-0.136,-0.087
osm3666040182,49.99331590,8.67798800,-0.139,-0.087
osm3666040251,49.99331420,8.67790730,-0.140,-0.081
osm3666040189,49.99334430,8.67790570,-0.136,-0.081
osm3666040120,49.99440630,8.67801550,-0.018,-0.089
osm3666040454,49.99427910,8.67802850,-0.032,-0.090
osm3666040456,49.99428780,8.67823440,-0.031,-0.104
osm3666040123,49.99441500,8.67822140,-0.017,-0.103
osm3666040381,49.99390690,8.67728680,-0.074,-0.037
osm3666040344,49.99361660,8.67729320,-0.106,-0.037
osm3666040345,49.99361850,8.67750100,-0.106,-0.052
osm3666029364,49.99390880,8.67749460,-0.074,-0.051
osm3666040139,49.99310250,8.67807070,-0.163,-0.093
osm3666040225,49.99321680,8.67806640,-0.150,-0.092
osm3666040631,49.99511370,8.67634020,0.060,0.031
osm3666040628,49.99506940,8.67635060,0.056,0.030
osm3666040626,49.99505480,8.67620110,0.054,0.041
osm3666040630,49.99509960,8.67619050,0.059,0.042
osm3666040392,49.99429110,8.67826620,-0.031,-0.107
osm3666040393,49.99429600,8.67841240,-0.030,-0.117
osm3666040035,49.99301160,8.67699060,-0.173,-0.015
osm3666040029,49.99293000,8.67699300,-0.182,-0.016
osm3666040030,49.99293200,8.67715710,-0.182,-0.027
osm3666039982,49.99297360,8.67715580,-0.178,-0.027
osm3666039983,49.99297410,8.67719260,-0.177,-0.030
osm3666040037,49.99301420,8.67719130,-0.173,-0.030
osm3666040637,49.99520280,8.67603610,0.070,0.053
osm3666040629,49.99508750,8.67606230,0.058,0.051
osm3666040632,49.99512360,8.67644610,0.062,0.024
osm3666040638,49.99523890,8.67641990,0.074,0.025
osm3666040238,49.99326720,8.67835560,-0.145,-0.113
osm3666040144,49.99313980,8.67836440,-0.159,-0.114
osm3666040145,49.99314140,8.67842000,-0.159,-0.118
