osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w377367743,footway112,highway,footway,walkway,2,47.6403682,-122.1362361,168.1586,-76.3434,0,0
w377367744,footway113,highway,footway,walkway,3,47.6382498,-122.1325580,-168.3142,55.4552,0,0
w377367745,footway114,highway,footway,walkway,11,47.6409805,-122.1383514,339.8220,-88.3267,0,0
w377367746,footway115,highway,footway,walkway,8,47.6456666,-122.1354830,305.9316,-653.0400,0,0
w377367747,footway116,highway,footway,walkway,2,47.6459091,-122.1325242,105.4427,-752.0278,0,0
w377367752,footway117,highway,footway,walkway,2,47.6458608,-122.1375898,461.9165,-621.2065,0,0
w377367753,footway118,highway,footway,walkway,2,47.6458550,-122.1373554,445.1334,-626.4075,0,0
w377478247,footway119,highway,footway,walkway,4,47.6382474,-122.1342486,-48.8527,97.6707,0,0
w377478248,path004,highway,path,walkway,11,47.6382762,-122.1327721,-152.2240,57.9891,0,0
w377478249,footway120,highway,footway,walkway,3,47.6382419,-122.1327729,-153.4010,61.6181,0,0
w377554452,footway121,highway,footway,walkway,5,47.6419601,-122.1388922,413.3824,-178.0639,0,0
w377554453,path005,highway,path,walkway,8,47.6416809,-122.1383911,367.8820,-161.1071,0,0
w377554454,path006,highway,path,walkway,8,47.6415619,-122.1388165,393.6726,-138.0112,0,0
w377554455,footway122,highway,footway,walkway,2,47.6423730,-122.1388513,425.3769,-222.5684,0,0
w377554456,footway123,highway,footway,walkway,2,47.6418833,-122.1388199,405.4972,-171.7763,0,0
w377554457,footway124,highway,footway,walkway,6,47.6415049,-122.1379578,330.8952,-153.3229,0,0
w377554458,footway125,highway,footway,walkway,2,47.6411219,-122.1378936,312.5419,-114.5825,0,0
w378576946,footway126,highway,footway,walkway,2,47.6422595,-122.1374202,320.0890,-246.1427,0,0
w379678470,footway127,highway,footway,walkway,2,47.6398102,-122.1335846,-39.4619,-83.3946,0,0
w380025127,footway128,highway,footway,walkway,2,47.6390190,-122.1335386,-71.2407,-1.2112,0,0
w380025128,footway129,highway,footway,walkway,5,47.6384272,-122.1352405,27.7773,103.3576,0,0
w380025132,footway130,highway,footway,walkway,2,47.6384889,-122.1341265,-48.7792,69.2095,0,0
w380025133,footway131,highway,footway,walkway,3,47.6385207,-122.1339864,-57.5393,62.3811,0,0
w380025134,footway132,highway,footway,walkway,3,47.6390695,-122.1350833,39.8198,31.8058,0,0
w380025139,footway133,highway,footway,walkway,7,47.6385639,-122.1349270,10.5355,81.1764,0,0
w380025141,footway134,highway,footway,walkway,4,47.6390719,-122.1340467,-33.4037,5.8267,0,0
w380025145,footway135,highway,footway,walkway,3,47.6385456,-122.1351308,24.2830,88.1648,0,0
w380025146,footway136,highway,footway,walkway,2,47.6384833,-122.1338700,-67.1161,63.4335,0,0
w380025147,footway137,highway,footway,walkway,2,47.6390787,-122.1336060,-64.3149,-5.8348,0,0
w380025150,footway138,highway,footway,walkway,3,47.6390861,-122.1349592,31.6401,26.9842,0,0
w380025151,footway139,highway,footway,walkway,2,47.6391294,-122.1340454,-31.4181,-0.2684,0,0
w380025155,footway140,highway,footway,walkway,2,47.6385207,-122.1340863,-50.4737,64.8573,0,0
w380025157,footway141,highway,footway,walkway,2,47.6384076,-122.1351521,20.8191,103.2191,0,0
w390310172,service120,highway,service,driveway,22,47.6366084,-122.1337050,-146.3801,256.7861,0,0
w390310174,footway142,highway,footway,walkway,2,47.6378348,-122.1338382,-92.7476,130.9345,0,0
w390317222,footway143,highway,footway,walkway,2,47.6382247,-122.1338073,-80.8788,89.1039,0,0
w390317223,service121,highway,service,driveway,2,47.6375088,-122.1339463,-96.8569,167.9505,0,0
w390317232,service122,highway,service,driveway,3,47.6378740,-122.1336152,-107.1039,121.2707,0,0
w390317236,footway144,highway,footway,walkway,2,47.6380418,-122.1341044,-66.4635,115.7408,0,0
w390331860,service123,highway,service,driveway,5,47.6410447,-122.1338644,24.8320,-206.4670,0,0
w390331863,service124,highway,service,driveway,3,47.6400313,-122.1344512,29.7936,-85.1738,0,0
w390331864,cycleway007,highway,cycleway,walkway,2,47.6390119,-122.1353669,57.7963,44.9091,0,0
w390331875,service125,highway,service,driveway,6,47.6402718,-122.1342758,26.0599,-114.8525,0,0
w390331878,footway145,highway,footway,walkway,2,47.6392812,-122.1349893,40.8069,7.1760,0,0
w390901534,service126,highway,service,driveway,2,47.6470692,-122.1338450,240.6718,-841.4117,0,0
w398994592,service127,highway,service,driveway,8,47.6361041,-122.1331388,-204.6087,295.8424,0,0
w402083671,Northeast 31st Street002,highway,tertiary,road,4,47.6381646,-122.1328762,-148.8828,72.3261,0,0
w402083672,Northeast 40th Street002,highway,secondary,road,2,47.6460445,-122.1331481,154.4403,-750.8019,0,0
w402569928,footway146,highway,footway,walkway,6,47.6384153,-122.1374591,184.2370,159.6834,0,0
w402577962,footway147,highway,footway,walkway,2,47.6410088,-122.1395790,427.6518,-60.8342,0,0
w402577964,footway148,highway,footway,walkway,3,47.6385867,-122.1409159,434.8687,227.4320,0,0
w402577965,footway149,highway,footway,walkway,2,47.6397658,-122.1368215,187.8366,1.6295,0,0
w402577966,footway150,highway,footway,walkway,2,47.6409288,-122.1393134,405.9819,-59.0031,0,0
