osm_nid,lat,lng,x,z
osm2003328730,47.48395530,-121.71240950,-1.964,0.305
osm6228575994,47.48399700,-121.71230040,-1.959,0.297
osm2003328750,47.48404690,-121.71221780,-1.953,0.291
osm53080416,47.48410880,-121.71214790,-1.947,0.286
osm53081571,47.48433420,-121.70033460,-1.922,-0.602
osm7257953499,47.48430670,-121.70000010,-1.925,-0.627
osm7257286126,47.48425890,-121.69942000,-1.930,-0.670
osm2003328728,47.48424570,-121.69891100,-1.931,-0.709
osm53063796,47.48063370,-121.74013530,-2.333,2.388
osm2003328731,47.48033150,-121.73962540,-2.367,2.350
osm2003328754,47.48025700,-121.73946610,-2.375,2.338
osm53083925,47.48021980,-121.73935900,-2.379,2.330
osm6237346319,47.48020320,-121.73923750,-2.381,2.321
osm2003328767,47.48020570,-121.73914250,-2.381,2.313
osm2003328742,47.48024180,-121.73904260,-2.377,2.306
osm6237346320,47.48029110,-121.73895740,-2.371,2.300
osm6237346321,47.48043130,-121.73878590,-2.356,2.287
osm2003328752,47.48060250,-121.73862310,-2.336,2.274
osm2003328720,47.48114880,-121.73817620,-2.276,2.241
osm6237346313,47.48131580,-121.73800080,-2.257,2.228
osm2003328725,47.48144110,-121.73782270,-2.243,2.214
osm2003328721,47.48159950,-121.73759990,-2.226,2.198
osm6237346314,47.48170080,-121.73750810,-2.214,2.191
osm6237346315,47.48179670,-121.73747030,-2.204,2.188
osm6237346316,47.48190630,-121.73745680,-2.191,2.187
osm53083926,47.48200860,-121.73745930,-2.180,2.187
osm53083929,47.48267090,-121.73744740,-2.106,2.186
osm53083932,47.48375070,-121.73742730,-1.986,2.185
osm53083934,47.48399460,-121.73742460,-1.959,2.184
osm2699368751,47.48409730,-121.73742710,-1.948,2.185
osm6237346306,47.48426830,-121.73741100,-1.929,2.183
osm53083936,47.48436300,-121.73739490,-1.918,2.182
osm6237346308,47.48443060,-121.73736790,-1.911,2.180
osm6237346330,47.48446820,-121.73733440,-1.907,2.178
osm7260300626,47.48449000,-121.73731120,-1.904,2.176
osm6237346307,47.48449630,-121.73730450,-1.904,2.175
osm6237346309,47.48452310,-121.73725390,-1.901,2.172
osm2003328739,47.48456090,-121.73715570,-1.896,2.164
osm1743981103,47.48462970,-121.73692220,-1.889,2.147
osm2003328747,47.48470480,-121.73665140,-1.880,2.126
osm6237346310,47.48474520,-121.73639740,-1.876,2.107
osm53083940,47.47410630,-121.74136420,-3.059,2.480
osm2845389855,47.47427750,-121.74123630,-3.040,2.471
osm53079233,47.47464980,-121.74093850,-2.998,2.448
osm4336624752,47.47469000,-121.74087730,-2.994,2.444
osm4336624753,47.47471630,-121.74080350,-2.991,2.438
osm4336624754,47.47473410,-121.74072120,-2.989,2.432
osm53079231,47.47473190,-121.74063430,-2.989,2.426
osm7490861450,47.47465980,-121.74031670,-2.997,2.402
osm53079230,47.47456580,-121.73994730,-3.008,2.374
osm4336624755,47.47451330,-121.73956920,-3.014,2.346
osm7078797566,47.47446540,-121.73898480,-3.019,2.302
osm7257293056,47.47442550,-121.73849750,-3.023,2.265
osm2560870772,47.47434260,-121.73748550,-3.033,2.189
osm4336624739,47.47425370,-121.73651830,-3.042,2.116
osm7257858816,47.47422420,-121.73631260,-3.046,2.101
osm4336624740,47.47421760,-121.73626620,-3.046,2.097
osm53076451,47.47417540,-121.73604260,-3.051,2.081
osm2560870768,47.47410770,-121.73578220,-3.059,2.061
osm2560870767,47.47395240,-121.73526340,-3.076,2.022
osm6063390583,47.47386990,-121.73500610,-3.085,2.003
osm7078789249,47.47383570,-121.73490190,-3.089,1.995
osm7078797761,47.47373240,-121.73458770,-3.100,1.971
osm2560870765,47.47371340,-121.73452970,-3.103,1.967
osm4336624756,47.47362100,-121.73414960,-3.113,1.938
osm53079222,47.47355020,-121.73379230,-3.121,1.912
osm2560870764,47.47351020,-121.73354420,-3.125,1.893
osm53079220,47.47344300,-121.73316780,-3.133,1.865
osm4335038657,47.47341980,-121.73299950,-3.135,1.852
osm4336624757,47.47340770,-121.73272570,-3.136,1.831
osm2560870762,47.47341390,-121.73238620,-3.136,1.806
osm2560870763,47.47341370,-121.73217950,-3.136,1.790
osm2560870761,47.47340290,-121.73201610,-3.137,1.778
osm4335038656,47.47336190,-121.73180960,-3.142,1.763
osm4335038594,47.47316810,-121.73117370,-3.163,1.715
osm7260614256,47.47314730,-121.73110510,-3.165,1.710
osm53079215,47.47295940,-121.73048430,-3.186,1.663
osm7260614255,47.47287840,-121.73015670,-3.195,1.638
osm4335038596,47.47287470,-121.73014170,-3.196,1.637
osm4335038597,47.47283620,-121.72989130,-3.200,1.619
osm7259853835,47.47283200,-121.72983590,-3.201,1.614
osm4335038658,47.47282030,-121.72968250,-3.202,1.603
osm4335038598,47.47280640,-121.72944630,-3.203,1.585
osm7259853841,47.47280230,-121.72923530,-3.204,1.569
osm4335038599,47.47280170,-121.72920460,-3.204,1.567
osm53079214,47.47280890,-121.72857310,-3.203,1.520
osm7257251255,47.47280150,-121.72829000,-3.204,1.498
osm53079212,47.47279940,-121.72820780,-3.204,1.492
osm4336624758,47.47275890,-121.72778040,-3.209,1.460
osm53079211,47.47255880,-121.72608110,-3.231,1.332
osm7258028977,47.47239880,-121.72463530,-3.249,1.224
osm53079209,47.47236810,-121.72435770,-3.252,1.203
osm4335038659,47.47233840,-121.72390400,-3.255,1.169
osm7258028967,47.47233820,-121.72384380,-3.255,1.164
osm53079207,47.47233620,-121.72336910,-3.256,1.129
osm7258028978,47.47233790,-121.72313900,-3.255,1.111
osm534474016,47.47234080,-121.72275320,-3.255,1.082
osm7260808349,47.47235170,-121.72231680,-3.254,1.050
osm534474015,47.47235590,-121.72214900,-3.253,1.037
osm53079205,47.47236700,-121.72100060,-3.252,0.951
osm53043574,47.47235220,-121.71992740,-3.254,0.870
osm534474024,47.47233750,-121.71935890,-3.255,0.827
osm4335038675,47.47231540,-121.71914830,-3.258,0.812
osm53079203,47.47228830,-121.71898900,-3.261,0.800
osm4335038661,47.47228330,-121.71895970,-3.262,0.797
osm4335038662,47.47224160,-121.71879830,-3.266,0.785
osm4335038660,47.47217030,-121.71860430,-3.274,0.771
osm7257270390,47.48073900,-121.72530590,-2.321,1.274
osm7257347601,47.48071240,-121.72321530,-2.324,1.117
osm7257347595,47.48071940,-121.72252610,-2.323,1.065
osm53090742,47.48072610,-121.72186920,-2.323,1.016
osm53091947,47.48522240,-121.71866160,-1.823,0.775
osm53091952,47.48743600,-121.72131220,-1.577,0.974
osm53091954,47.48707610,-121.72129770,-1.617,0.973
osm53100125,47.48583180,-121.71396990,-1.755,0.423
osm6228575743,47.48494580,-121.71396720,-1.854,0.422
osm6228575735,47.48487120,-121.71396700,-1.862,0.422
osm6228575734,47.48469270,-121.71395240,-1.882,0.421
osm53100128,47.48451860,-121.71392660,-1.901,0.419
osm6228575736,47.48440810,-121.71388160,-1.913,0.416
osm6228575737,47.48428490,-121.71378730,-1.927,0.409
osm6228576494,47.48390540,-121.71347340,-1.969,0.385
osm6228575738,47.48388670,-121.71345790,-1.971,0.384
osm6228575739,47.48354730,-121.71328080,-2.009,0.371
osm6228575740,47.48336640,-121.71323620,-2.029,0.367
osm6228576496,47.48316610,-121.71323590,-2.051,0.367
osm6228576498,47.48273830,-121.71323520,-2.099,0.367
