osm_wid,osm_nid_1,osm_nid_2,linkuse,comment
w20633954,osm3662982405,osm266524463,road,"Lutherplatz.link1"
w20633954,osm678534466,osm3662982405,road,"Lutherplatz.link2"
w20633954,osm336322072,osm678534466,road,"Lutherplatz.link3"
w20633954,osm678534480,osm336322072,road,"Lutherplatz.link4"
w20633954,osm248730752,osm678534480,road,"Lutherplatz.link5"
w20633954,osm221504332,osm248730752,road,"Lutherplatz.link6"
w20633954,osm678534483,osm221504332,road,"Lutherplatz.link7"
w20633954,osm456054454,osm678534483,road,"Lutherplatz.link8"
w20633954,osm678534486,osm456054454,road,"Lutherplatz.link9"
w20633954,osm221504337,osm678534486,road,"Lutherplatz.link10"
w20633954,osm678534490,osm221504337,road,"Lutherplatz.link11"
w20633954,osm221503348,osm678534490,road,"Lutherplatz.link12"
w20633954,osm221504310,osm221503348,road,"Lutherplatz.link13"
w20633954,osm678534493,osm221504310,road,"Lutherplatz.link14"
w20633954,osm456054450,osm678534493,road,"Lutherplatz.link15"
w20633954,osm221504312,osm456054450,road,"Lutherplatz.link16"
w20633954,osm678534498,osm221504312,road,"Lutherplatz.link17"
w20633954,osm221504316,osm678534498,road,"Lutherplatz.link18"
w20633954,osm678534505,osm221504316,road,"Lutherplatz.link19"
w20633954,osm266524463,osm678534505,road,"Lutherplatz.link20"
w20923172,osm2197214743,osm224782087,slowroad,"Borngasse.link1"
w20923172,osm2376685801,osm2197214743,slowroad,"Borngasse.link2"
w20923172,osm2376685797,osm2376685801,slowroad,"Borngasse.link3"
w20923172,osm3663800470,osm2376685797,slowroad,"Borngasse.link4"
w20923172,osm2376685796,osm3663800470,slowroad,"Borngasse.link5"
w20923172,osm2197214752,osm2376685796,slowroad,"Borngasse.link6"
w20923172,osm2376685794,osm2197214752,slowroad,"Borngasse.link7"
w20923172,osm224782083,osm2376685794,slowroad,"Borngasse.link8"
w20923172,osm2376685792,osm224782083,slowroad,"Borngasse.link9"
w20923172,osm2376685789,osm2376685792,slowroad,"Borngasse.link10"
w20923172,osm224775173,osm2376685789,slowroad,"Borngasse.link11"
w20923172,osm2376685787,osm224775173,slowroad,"Borngasse.link12"
w20923172,osm224775174,osm2376685787,slowroad,"Borngasse.link13"
w20923172,osm3664266043,osm224775174,slowroad,"Borngasse.link14"
w20923172,osm224775177,osm3664266043,slowroad,"Borngasse.link15"
w20923172,osm224775178,osm224775177,slowroad,"Borngasse.link16"
w20923172,osm224773148,osm224775178,slowroad,"Borngasse.link17"
w20923172,osm224775179,osm224773148,slowroad,"Borngasse.link18"
w20924171,osm7414978834,osm2197214738,slowroad,"Kirchgasse.link1"
w20924171,osm2197214755,osm7414978834,slowroad,"Kirchgasse.link2"
w20924171,osm2376685810,osm2197214755,slowroad,"Kirchgasse.link3"
w20924171,osm224782087,osm2376685810,slowroad,"Kirchgasse.link4"
w20924171,osm224783705,osm224782087,slowroad,"Kirchgasse.link5"
w20924223,osm224782530,osm224783705,slowroad,"Bachgasse.link1"
w20924223,osm3663800478,osm224782530,slowroad,"Bachgasse.link2"
w20924223,osm3663800477,osm3663800478,slowroad,"Bachgasse.link3"
w20924223,osm849326070,osm3663800477,slowroad,"Bachgasse.link4"
w20924223,osm3663800474,osm849326070,slowroad,"Bachgasse.link5"
w20924223,osm224783707,osm3663800474,slowroad,"Bachgasse.link6"
w20924223,osm848947889,osm224783707,slowroad,"Bachgasse.link7"
w20924223,osm224783709,osm848947889,slowroad,"Bachgasse.link8"
w20924223,osm3663800476,osm224783709,slowroad,"Bachgasse.link9"
w20924223,osm224783710,osm3663800476,slowroad,"Bachgasse.link10"
w20924223,osm224785126,osm224783710,slowroad,"Bachgasse.link11"
w20924223,osm224783712,osm224785126,slowroad,"Bachgasse.link12"
w20924223,osm224783714,osm224783712,slowroad,"Bachgasse.link13"
w20924520,osm224787700,osm224787695,slowroad,"Kaplaneigasse.link1"
w20924619,osm224785123,osm224785119,slowroad,"Glockengasse.link1"
w20924619,osm2376685809,osm224785123,slowroad,"Glockengasse.link2"
w20924619,osm224785125,osm2376685809,slowroad,"Glockengasse.link3"
w20924619,osm1881642005,osm224785125,slowroad,"Glockengasse.link4"
w20925054,osm3664564325,osm33481724,slowroad,"Hegweg.link1"
w20925054,osm224787700,osm3664564325,slowroad,"Hegweg.link2"
w20925054,osm3634284255,osm224787700,slowroad,"Hegweg.link3"
w20925054,osm224792834,osm3634284255,slowroad,"Hegweg.link4"
w20925054,osm2769403850,osm224792834,slowroad,"Hegweg.link5"
w20925054,osm224792836,osm2769403850,slowroad,"Hegweg.link6"
w20925054,osm224792839,osm224792836,slowroad,"Hegweg.link7"
w20925054,osm848947858,osm224792839,slowroad,"Hegweg.link8"
w20925054,osm480452499,osm848947858,slowroad,"Hegweg.link9"
w20925054,osm1260073295,osm480452499,slowroad,"Hegweg.link10"
