osm_wid,osm_nid_1,osm_nid_2,linkuse,comment
w8918406,osm448105038,osm448104974,road,"Gough Street.link2"
w8918406,osm65288759,osm448105038,road,"Gough Street.link3"
w8918406,osm65318338,osm65288759,road,"Gough Street.link4"
w8918406,osm4177086685,osm65318338,road,"Gough Street.link5"
w8918885,osm65318981,osm65332225,slowroad,"Waller Street.link1"
w8919006,osm65362987,osm65363176,road,"South Van Ness Avenue.link1"
w8919084,osm1723739360,osm1723739176,slowroad,"Rose Street.link1"
w8919084,osm4016379796,osm1723739360,slowroad,"Rose Street.link2"
w8919084,osm4016379792,osm4016379796,slowroad,"Rose Street.link3"
w8919084,osm1058058040,osm4016379792,slowroad,"Rose Street.link4"
w8919084,osm65329071,osm1058058040,slowroad,"Rose Street.link5"
w8919794,osm6639198517,osm65306835,slowroad,"Grace Street.link1"
w8919948,osm6925181338,osm65306832,slowroad,"Dore Street.link1"
w8919948,osm65317569,osm6925181338,slowroad,"Dore Street.link2"
w8920106,osm5146209457,osm2568380114,slowroad,"Octavia Street.link1"
w8920106,osm761541289,osm5146209457,slowroad,"Octavia Street.link2"
w8920106,osm409932774,osm761541289,slowroad,"Octavia Street.link3"
w8920106,osm65351426,osm409932774,slowroad,"Octavia Street.link4"
w8920106,osm761541326,osm65351426,slowroad,"Octavia Street.link5"
w8920106,osm409932776,osm761541326,slowroad,"Octavia Street.link6"
w8920106,osm2568380120,osm409932776,slowroad,"Octavia Street.link7"
w8920203,osm6945781429,osm65318999,slowroad,"Birch Street.link1"
w8920203,osm6945767149,osm6945781429,slowroad,"Birch Street.link2"
w8920203,osm65351433,osm6945767149,slowroad,"Birch Street.link3"
w8920306,osm4985371694,osm65329079,road,"Fell Street.link1"
w8920306,osm7150534600,osm4985371694,road,"Fell Street.link2"
w8920306,osm4985371691,osm7150534600,road,"Fell Street.link3"
w8920306,osm65350740,osm4985371691,road,"Fell Street.link4"
w8920306,osm7231497032,osm65350740,road,"Fell Street.link5"
w8920306,osm65354072,osm7231497032,road,"Fell Street.link6"
w8920338,osm6338755839,osm4061762661,road,"Larkin Street.link1"
w8920338,osm65325363,osm6338755839,road,"Larkin Street.link2"
w8920411,osm65355481,osm65355479,slowroad,"Chase Court.link1"
w8921118,osm65363988,osm267455051,slowroad,"12th Street.link1"
w8921118,osm65315830,osm65363988,slowroad,"12th Street.link2"
w8921122,osm65364094,osm260118094,slowroad,"12th Street001.link1"
w8921141,osm65318346,osm4177105002,road,"8th Street.link1"
w8921141,osm6744826040,osm65318346,road,"8th Street.link2"
w8921141,osm3999400982,osm6744826040,road,"8th Street.link3"
w8921779,osm65370330,osm65315836,road,"McCoppin Street.link1"
w8921779,osm3153849297,osm65370330,road,"McCoppin Street.link2"
w8921779,osm4100262328,osm3153849297,road,"McCoppin Street.link3"
w8921779,osm5437877169,osm4100262328,road,"McCoppin Street.link4"
w8921779,osm65306982,osm5437877169,road,"McCoppin Street.link5"
w8921779,osm4100262339,osm65306982,road,"McCoppin Street.link6"
w8921779,osm65318320,osm4100262339,road,"McCoppin Street.link7"
w8921779,osm3153849294,osm65318320,road,"McCoppin Street.link8"
w8921779,osm5450325828,osm3153849294,road,"McCoppin Street.link9"
w8921779,osm65319667,osm5450325828,road,"McCoppin Street.link10"
w8921849,osm65319567,osm65363174,slowroad,"Lafayette Street.link1"
w8921849,osm65325211,osm65319567,slowroad,"Lafayette Street.link2"
w8921849,osm65306842,osm65325211,slowroad,"Lafayette Street.link3"
w8922065,osm314138235,osm65314351,slowroad,"Elgin Park.link1"
w8922065,osm1723563903,osm314138235,slowroad,"Elgin Park.link2"
w8922065,osm1723563921,osm1723563903,slowroad,"Elgin Park.link3"
w8922158,osm7531961527,osm298083538,slowroad,"Linden Street.link1"
w8922158,osm65329081,osm7531961527,slowroad,"Linden Street.link2"
w8922342,osm65355479,osm65288752,slowroad,"Colusa Place.link1"
w8922462,osm6459601524,osm6459601541,highway,"Central Freeway.link1"
w8922462,osm6459601540,osm6459601524,highway,"Central Freeway.link2"
w8922462,osm6459601545,osm6459601540,highway,"Central Freeway.link3"
w8922462,osm6459601525,osm6459601545,highway,"Central Freeway.link4"
w8922462,osm6459601528,osm6459601525,highway,"Central Freeway.link5"
w8922462,osm6459601513,osm6459601528,highway,"Central Freeway.link6"
w8922462,osm6459601546,osm6459601513,highway,"Central Freeway.link7"
w23959829,osm6906659801,osm65363176,road,"Mission Street.link1"
w23959829,osm65363174,osm6906659801,road,"Mission Street.link2"
w23959829,osm5437876959,osm65363174,road,"Mission Street.link3"
w23959829,osm65363171,osm5437876959,road,"Mission Street.link4"
w23959829,osm7161543604,osm65363171,road,"Mission Street.link5"
w24310636,osm6459435581,osm4177086683,road,"Howard Street.link1"
w24310636,osm5437876956,osm6459435581,road,"Howard Street.link2"
w24310636,osm6459435580,osm5437876956,road,"Howard Street.link3"
w24310636,osm65306842,osm6459435580,road,"Howard Street.link4"
w24310636,osm65306844,osm65306842,road,"Howard Street.link5"
w24310636,osm1266422687,osm65306844,road,"Howard Street.link6"
w24310636,osm5437876948,osm1266422687,road,"Howard Street.link7"
w24310636,osm1266422707,osm5437876948,road,"Howard Street.link8"
w24310636,osm1266422709,osm1266422707,road,"Howard Street.link9"
w24310636,osm1266422686,osm1266422709,road,"Howard Street.link10"
w24310636,osm1266422695,osm1266422686,road,"Howard Street.link11"
w24310636,osm65306847,osm1266422695,road,"Howard Street.link12"
w24335439,osm6587942783,osm65306840,road,"11th Street001.link1"
w24335439,osm65325013,osm6587942783,road,"11th Street001.link2"
w24335439,osm65319565,osm65325013,road,"11th Street001.link3"
w24335439,osm6587942784,osm65319565,road,"11th Street001.link4"
w24335439,osm4177104989,osm6587942784,road,"11th Street001.link5"
w24335440,osm6587942782,osm65306840,road,"11th Street002.link1"
w24335440,osm65312159,osm6587942782,road,"11th Street002.link2"
w24335440,osm65299541,osm65312159,road,"11th Street002.link3"
w24335440,osm4177086681,osm65299541,road,"11th Street002.link4"
w24335441,osm65362991,osm65325009,road,"Mission Street001.link1"
w24335441,osm6906452444,osm65362991,road,"Mission Street001.link2"
w24335441,osm7161543605,osm6906452444,road,"Mission Street001.link3"
w24603531,osm267455049,osm65334219,road,"primary_link001.link1"
w24603531,osm267455050,osm267455049,road,"primary_link001.link2"
w24603531,osm267455051,osm267455050,road,"primary_link001.link3"
w24603573,osm4472669439,osm65281218,road,"Octavia Boulevard.link1"
w24603573,osm4472669440,osm4472669439,road,"Octavia Boulevard.link2"
w24603573,osm267455477,osm4472669440,road,"Octavia Boulevard.link3"
w25337673,osm6906659802,osm65281253,road,"Mission Street002.link1"
w25337673,osm258768351,osm6906659802,road,"Mission Street002.link2"
w25337673,osm65337860,osm258768351,road,"Mission Street002.link3"
w25371417,osm4087625923,osm65315846,road,"Mission Street003.link1"
w25371449,osm6442026049,osm65315846,road,"secondary_link001.link1"
w25371449,osm6442026052,osm6442026049,road,"secondary_link001.link2"
w25371449,osm6442026051,osm6442026052,road,"secondary_link001.link3"
w25371449,osm6442026050,osm6442026051,road,"secondary_link001.link4"
w25371449,osm300515745,osm6442026050,road,"secondary_link001.link5"
w25371449,osm300515746,osm300515745,road,"secondary_link001.link6"
w25371449,osm4548594910,osm300515746,road,"secondary_link001.link7"
w25371449,osm6442026053,osm4548594910,road,"secondary_link001.link8"
w25371449,osm6442026054,osm6442026053,road,"secondary_link001.link9"
w25371449,osm65281253,osm6442026054,road,"secondary_link001.link10"
w25371463,osm1266450417,osm65325213,slowroad,"Natoma Street001.link1"
w25371463,osm1266450421,osm1266450417,slowroad,"Natoma Street001.link2"
w25371463,osm65325211,osm1266450421,slowroad,"Natoma Street001.link3"
w26943461,osm2841581039,osm260117854,road,"South Van Ness Avenue001.link1"
w26943461,osm300514847,osm2841581039,road,"South Van Ness Avenue001.link2"
w26943461,osm2236649162,osm300514847,road,"South Van Ness Avenue001.link3"
w26943482,osm65334222,osm1723739149,road,"South Van Ness Avenue002.link1"
w26943482,osm1723739022,osm65334222,road,"South Van Ness Avenue002.link2"
w26943482,osm1723739216,osm1723739022,road,"South Van Ness Avenue002.link3"
