X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-121.747688977048,47.52510599792,,,,,0043,,,,,,,,,,,,,,,,,,
-121.747840018943,47.5251110270619,,,,,0053,,,,,,,,,,,,,,,,,,
-121.744578033686,47.5229500047863,,,,,0064,,,,,,,,,,,,,,,,,,
-121.744578033686,47.5229449756444,,,,,0072,,,,,,,,,,,,,,,,,,
-121.748384004459,47.5246139802039,,,,,0082,,,,,,,,,,,,,,,,,,
-121.74983901903,47.5244940351695,,,,,0092,,,,,,,,,,,,,,,,,,
-121.749855028465,47.5244940351695,,,,,0101,,,,,,,,,,,,,,,,,,
-121.749853016809,47.524490011856,,,,,0111,,,,,,,,,,,,,,,,,,
-121.749510029331,47.5251999590546,,,,,Coordinates2,,,,,,,,,,,,,,,,,,
-121.709446040913,47.4867010395974,,,,,0141,,,,,,,,,,,,,,,,,,
-121.708282968029,47.5333459954709,,,,,0151,,,,,,,,,,,,,,,,,,
-121.704775979742,47.5297570321709,,,,,0161,,DRA1N,,,,,,,,,,,,,,,,
-121.70448102057,47.513109985739,,,,,Coordinates2,,,,,,,,,,,,,,,,,,
-121.427122,47.3084,,,,,T19 1020,,,,,,,,,,,,,,,,,,
-121.715490348298,47.5799083459785,,,,,No Horse Trailers Beyond Here,,Due to road issues,,,,,,,,,,,,,,,,
-121.708366364913,47.4954811304945,,,,,Voice 08/03 ESAR/SMR,,,,,,,,,,,,,,,,,,
-121.70618,47.52037,,,,,Human/Dog Footprints,,,,,,,,,,,,,,,,,,
-121.701197539667,47.5390411638248,,,,,Team 3 08/03 1320,,,,,,,,,,,,,,,,,,
-121.69588,47.53367,,,,,SMR Team 6 08/03 13:20,,,,,,,,,,,,,,,,,,
-121.72157,47.5194,,,,,SMR Team 1 08/03 13:30,,,,,,,,,,,,,,,,,,
-121.723,47.52144,,,,,Find,,"Alert, conscious. No LZ- hover only for extract",,,,,,,,,,,,,,,,
-121.777052879333,47.4922131314407,,,,,LZ,,750 E North Bend Way,,,,,,,,,,,,,,,,
-121.71397,47.53066,,,,,Team 1 Alternate Pickup point,,,,,,,,,,,,,,,,,,
-121.70787,47.51377,,,,,Pickup Location: Relay,,,,,,,,,,,,,,,,,,
-121.695556640625,47.5088573695698,,,,,Relay ,,,,,,,,,,,,,,,,,,
-121.703324317932,47.5404717535782,,,,,4X4 Pickup Location,,,,,,,,,,,,,,,,,,
-121.740277777778,47.4861111111111,,,,,found by Thurston 31,,Fresh sanitary products,,,,,,,,,,,,,,,,
-121.703790650124,47.4934863696118,,,,,,,KCSD22 (KCSD 13 interest road?),,,,,,,,,,,,,,,,
